ID,Name,Origin,Refl_file,Specular,Refl_file_all_config,m_w,m_d,m_sh,SMCg,Clay,Silt,Sand,OM,CaCO3,Fe,CO,L,eps,d,K,a,psi,Slope,Intercept
53,Soil 53,HeBei(China),liu02_209.csv,0,liu02_all_config_209.csv,198.1,164.2,12.0,22.3,114,270,616,16.7,1,1.52,9.7,0.0445,0.47,0.0639,22.30,9.39,1052.64,1.1158,0.0098
53,Soil 53,HeBei(China),liu02_210.csv,0,liu02_all_config_210.csv,186.3,164.2,12.0,14.5,114,270,616,16.7,1,1.52,9.7,0.0027,1.00,0.0679,22.30,9.39,1052.64,1.1158,0.0098
53,Soil 53,HeBei(China),liu02_211.csv,0,liu02_all_config_211.csv,170.5,164.2,12.0,4.1,114,270,616,16.7,1,1.52,9.7,0.0057,0.12,0.0369,22.30,9.39,1052.64,1.1158,0.0098
53,Soil 53,HeBei(China),liu02_212.csv,0,liu02_all_config_212.csv,164.2,164.2,12.0,0.0,114,270,616,16.7,1,1.52,9.7,0.0000,0.00,0.0000,22.30,9.39,1052.64,1.1158,0.0098
54,Soil 54,JiangXi(China),liu02_213.csv,0,liu02_all_config_213.csv,174.2,130,12.0,37.5,68,245,687,12.6,1,1.15,7.3,0.0370,0.57,0.0526,41.25,2.17,113.96,1.0920,0.0146
54,Soil 54,JiangXi(China),liu02_214.csv,0,liu02_all_config_214.csv,163.6,130,12.0,28.5,68,245,687,12.6,1,1.15,7.3,0.0339,0.50,0.0758,41.25,2.17,113.96,1.0920,0.0146
54,Soil 54,JiangXi(China),liu02_215.csv,0,liu02_all_config_215.csv,149.5,130,12.0,16.5,68,245,687,12.6,1,1.15,7.3,0.0029,0.95,0.0721,41.25,2.17,113.96,1.0920,0.0146
54,Soil 54,JiangXi(China),liu02_216.csv,0,liu02_all_config_216.csv,130,130,12.0,0.0,68,245,687,12.6,1,1.15,7.3,0.0000,0.00,0.0000,41.25,2.17,113.96,1.0920,0.0146
55,Soil 55,AnHui(China),liu02_217.csv,1,liu02_all_config_217.csv,187,140.7,12.0,36.0,352,620,28,3.8,2,3.49,2.2,0.0064,0.86,0.0000,39.60,16.95,849.89,1.1026,0.0107
55,Soil 55,AnHui(China),liu02_218.csv,0,liu02_all_config_218.csv,174.9,140.7,12.0,26.6,352,620,28,3.8,2,3.49,2.2,0.0044,1.00,0.0011,39.60,16.95,849.89,1.1026,0.0107
55,Soil 55,AnHui(China),liu02_219.csv,0,liu02_all_config_219.csv,159.1,140.7,12.0,14.3,352,620,28,3.8,2,3.49,2.2,0.0027,0.95,0.0000,39.60,16.95,849.89,1.1026,0.0107
