ID,Name,Origin,Refl_file,Specular,Refl_file_all_config,m_w,m_d,m_sh,SMCg,Clay,Silt,Sand,OM,CaCO3,Fe,CO,L,eps,d,K,a,psi,Slope,Intercept
30,Soil 30,Alpilles 97/Sol peicelle 300,liu02_118.csv,1,liu02_all_config_118.csv,165.3,126.9,12.0,33.4,558,398,44,34.6,399,2.23,20.1,0.0168,0.52,0.0794,49.83,6.02,355.11,1.0418,0.0191
30,Soil 30,Alpilles 97/Sol peicelle 300,liu02_119.csv,0,liu02_all_config_119.csv,147.9,126.9,12.0,18.3,558,398,44,34.6,399,2.23,20.1,0.0040,0.87,0.1332,49.83,6.02,355.11,1.0418,0.0191
30,Soil 30,Alpilles 97/Sol peicelle 300,liu02_120.csv,0,liu02_all_config_120.csv,126.9,126.9,12.0,0.0,558,398,44,34.6,399,2.23,20.1,0.0000,0.00,0.0000,49.83,6.02,355.11,1.0418,0.0191
31,Soil 31,nan,liu02_121.csv,1,liu02_all_config_121.csv,167.1,120.5,12.0,42.9,190,481,328,15.8,1,2.56,9.2,0.0040,1.00,0.0163,33.61,0.21,200.93,1.0797,0.0161
31,Soil 31,nan,liu02_122.csv,0,liu02_all_config_122.csv,156,120.5,12.0,32.7,190,481,328,15.8,1,2.56,9.2,0.0355,0.47,0.0610,33.61,0.21,200.93,1.0797,0.0161
31,Soil 31,nan,liu02_123.csv,0,liu02_all_config_123.csv,141,120.5,12.0,18.9,190,481,328,15.8,1,2.56,9.2,0.0037,1.00,0.0866,33.61,0.21,200.93,1.0797,0.0161
31,Soil 31,nan,liu02_124.csv,0,liu02_all_config_124.csv,120.5,120.5,12.0,0.0,190,481,328,15.8,1,2.56,9.2,0.0000,0.00,0.0000,33.61,0.21,200.93,1.0797,0.0161
32,Soil 32,Alpilles 97/Sol peicelle 300,liu02_125.csv,1,liu02_all_config_125.csv,178.1,129.4,12.0,41.5,618,362,20,21.2,442,2.46,12.3,0.0139,0.45,0.0548,36.00,14022.76,2940.56,1.0454,0.0158
32,Soil 32,Alpilles 97/Sol peicelle 300,liu02_126.csv,1,liu02_all_config_126.csv,165.2,129.4,12.0,30.5,618,362,20,21.2,442,2.46,12.3,0.0153,0.49,0.0881,36.00,14022.76,2940.56,1.0454,0.0158
32,Soil 32,Alpilles 97/Sol peicelle 300,liu02_127.csv,0,liu02_all_config_127.csv,147.4,129.4,12.0,15.3,618,362,20,21.2,442,2.46,12.3,0.0035,0.90,0.1653,36.00,14022.76,2940.56,1.0454,0.0158
32,Soil 32,Alpilles 97/Sol peicelle 300,liu02_128.csv,0,liu02_all_config_128.csv,129.4,129.4,12.0,0.0,618,362,20,21.2,442,2.46,12.3,0.0000,0.00,0.0000,36.00,14022.76,2940.56,1.0454,0.0158
33,Soil 33,nan,liu02_129.csv,0,liu02_all_config_129.csv,191.3,143.3,12.0,36.6,119,227,653,33.7,2,2.23,19.6,0.0386,0.55,0.0315,40.00,4.65,183.79,1.1757,0.0135
33,Soil 33,nan,liu02_130.csv,0,liu02_all_config_130.csv,177.9,143.3,12.0,26.4,119,227,653,33.7,2,2.23,19.6,0.0219,0.55,0.0497,40.00,4.65,183.79,1.1757,0.0135
33,Soil 33,nan,liu02_131.csv,0,liu02_all_config_131.csv,158.9,143.3,12.0,11.9,119,227,653,33.7,2,2.23,19.6,0.0084,0.44,0.0738,40.00,4.65,183.79,1.1757,0.0135
33,Soil 33,nan,liu02_132.csv,0,liu02_all_config_132.csv,143.3,143.3,12.0,0.0,119,227,653,33.7,2,2.23,19.6,0.0000,0.00,0.0000,40.00,4.65,183.79,1.1757,0.0135
34,Soil 34,nan,liu02_133.csv,0,liu02_all_config_133.csv,210.6,171.9,12.0,24.2,20,97,883,3.4,1,2.24,2,0.0061,1.00,0.0737,24.21,12.43,1703.31,1.0849,0.0095
34,Soil 34,nan,liu02_134.csv,0,liu02_all_config_134.csv,191.8,171.9,12.0,12.4,20,97,883,3.4,1,2.24,2,0.0016,0.94,0.0422,24.21,12.43,1703.31,1.0849,0.0095
34,Soil 34,nan,liu02_135.csv,0,liu02_all_config_135.csv,175.5,171.9,12.0,2.3,20,97,883,3.4,1,2.24,2,0.0309,0.01,0.0000,24.21,12.43,1703.31,1.0849,0.0095
34,Soil 34,nan,liu02_136.csv,0,liu02_all_config_136.csv,171.9,171.9,12.0,0.0,20,97,883,3.4,1,2.24,2,0.0000,0.00,0.0000,24.21,12.43,1703.31,1.0849,0.0095
35,Soil 35,nan,liu02_137.csv,0,liu02_all_config_137.csv,181.5,139.5,12.0,32.9,151,661,188,28,1,1.06,16.3,0.0240,0.48,0.0815,36.19,3.03,230.82,1.1649,0.0146
35,Soil 35,nan,liu02_138.csv,0,liu02_all_config_138.csv,170.8,139.5,12.0,24.5,151,661,188,28,1,1.06,16.3,0.0188,0.52,0.1303,36.19,3.03,230.82,1.1649,0.0146
35,Soil 35,nan,liu02_139.csv,0,liu02_all_config_139.csv,152.9,139.5,12.0,10.5,151,661,188,28,1,1.06,16.3,0.0011,0.61,0.0000,36.19,3.03,230.82,1.1649,0.0146
