ID_Parcela,Treatment,Nitrogen,wave,RFL
10A,CAN+DMPSA,N2,400,0.03257274
10A,CAN+DMPSA,N2,401,0.03266894
10A,CAN+DMPSA,N2,402,0.03276514
10A,CAN+DMPSA,N2,403,0.03286135
10A,CAN+DMPSA,N2,404,0.03295755
10A,CAN+DMPSA,N2,405,0.03305375
10A,CAN+DMPSA,N2,406,0.03314995
10A,CAN+DMPSA,N2,407,0.03324616
10A,CAN+DMPSA,N2,408,0.03334236
10A,CAN+DMPSA,N2,409,0.03343856
10A,CAN+DMPSA,N2,410,0.03358136
10A,CAN+DMPSA,N2,411,0.03374508
10A,CAN+DMPSA,N2,412,0.03390881
10A,CAN+DMPSA,N2,413,0.03407253
10A,CAN+DMPSA,N2,414,0.03423626
10A,CAN+DMPSA,N2,415,0.03439998
10A,CAN+DMPSA,N2,416,0.03456371
10A,CAN+DMPSA,N2,417,0.03472743
10A,CAN+DMPSA,N2,418,0.03489116
10A,CAN+DMPSA,N2,419,0.03507046
10A,CAN+DMPSA,N2,420,0.03527519
10A,CAN+DMPSA,N2,421,0.03547992
10A,CAN+DMPSA,N2,422,0.03568465
10A,CAN+DMPSA,N2,423,0.03588938
10A,CAN+DMPSA,N2,424,0.03609411
10A,CAN+DMPSA,N2,425,0.03629885
10A,CAN+DMPSA,N2,426,0.03650358
10A,CAN+DMPSA,N2,427,0.03670831
10A,CAN+DMPSA,N2,428,0.03691405
10A,CAN+DMPSA,N2,429,0.03713327
10A,CAN+DMPSA,N2,430,0.03735249
10A,CAN+DMPSA,N2,431,0.0375717
10A,CAN+DMPSA,N2,432,0.03779092
10A,CAN+DMPSA,N2,433,0.03801014
10A,CAN+DMPSA,N2,434,0.03822936
10A,CAN+DMPSA,N2,435,0.03844858
10A,CAN+DMPSA,N2,436,0.03866779
10A,CAN+DMPSA,N2,437,0.03888701
10A,CAN+DMPSA,N2,438,0.03908662
10A,CAN+DMPSA,N2,439,0.03928003
10A,CAN+DMPSA,N2,440,0.03947344
10A,CAN+DMPSA,N2,441,0.03966685
10A,CAN+DMPSA,N2,442,0.03986026
10A,CAN+DMPSA,N2,443,0.04005367
10A,CAN+DMPSA,N2,444,0.04024708
10A,CAN+DMPSA,N2,445,0.04044049
10A,CAN+DMPSA,N2,446,0.0406339
10A,CAN+DMPSA,N2,447,0.04080528
10A,CAN+DMPSA,N2,448,0.04094974
10A,CAN+DMPSA,N2,449,0.04109419
10A,CAN+DMPSA,N2,450,0.04123865
10A,CAN+DMPSA,N2,451,0.04138311
10A,CAN+DMPSA,N2,452,0.04152757
10A,CAN+DMPSA,N2,453,0.04167203
10A,CAN+DMPSA,N2,454,0.04181648
10A,CAN+DMPSA,N2,455,0.04196094
10A,CAN+DMPSA,N2,456,0.04209787
10A,CAN+DMPSA,N2,457,0.04218857
10A,CAN+DMPSA,N2,458,0.04227926
10A,CAN+DMPSA,N2,459,0.04236996
10A,CAN+DMPSA,N2,460,0.04246065
10A,CAN+DMPSA,N2,461,0.04255135
10A,CAN+DMPSA,N2,462,0.04264205
10A,CAN+DMPSA,N2,463,0.04273274
10A,CAN+DMPSA,N2,464,0.04282344
10A,CAN+DMPSA,N2,465,0.04291413
10A,CAN+DMPSA,N2,466,0.04298524
10A,CAN+DMPSA,N2,467,0.04305233
10A,CAN+DMPSA,N2,468,0.04311943
10A,CAN+DMPSA,N2,469,0.04318652
10A,CAN+DMPSA,N2,470,0.04325362
10A,CAN+DMPSA,N2,471,0.04332071
10A,CAN+DMPSA,N2,472,0.0433878
10A,CAN+DMPSA,N2,473,0.0434549
10A,CAN+DMPSA,N2,474,0.04352199
10A,CAN+DMPSA,N2,475,0.04360104
10A,CAN+DMPSA,N2,476,0.04369112
10A,CAN+DMPSA,N2,477,0.0437812
10A,CAN+DMPSA,N2,478,0.04387128
10A,CAN+DMPSA,N2,479,0.04396136
10A,CAN+DMPSA,N2,480,0.04405144
10A,CAN+DMPSA,N2,481,0.04414152
10A,CAN+DMPSA,N2,482,0.0442316
