"TreeID","GNSS_Heigh","Species","X2019_DOYs","X2020_DOYs","X2021_DOYs","ID","cells","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","coords.x1","coords.x2","coords.x3","Date","DOY","NDVI","NDVI_705","RDVI","SR","MSR","OSAVI","MSAVI","MTVI1","MTVI2","MCARI","MCARI1","MCARI2","EVI","NDVI_green","NDVI_swir","REIP_beetle","TC_greeness","TC_wetness","GM1","GM2","TCARI","T/O","TVI","SIPI","ARI","GNDVI","CIg","ARVI","AVI","ARV2","NBR","NBR-2","NDRE","MNDVI","RedEg1","RedEg2","WDRVI","NDWI","NDWI2","LWCI","CIre","CIgreen","IRECI","S2REP","RVI","PVI","REIP1","REIP2","G","R","PSSRa"
"01",196.096,"Fraxinus angustifolia","83,199,254,290","131,207,295","-",1,27174,0.0691,0.0718,0.0719,0.074,0.0977,0.1283,0.1392,0.1632,0.1632,0.1646,0.2299,0.1684,4831861.23510059,2865074.86813689,196.09565085176,2019-03-24,83,0.376053962900506,0.138031450203844,0.18315024840476,2.20540540540541,0.485060741318484,0.260503524672709,0.151893594798579,0.125172,0.122168060356246,0.0244778108108108,0.156465,0.122168060356246,0.208664732852999,-0.0143934201507882,-0.169676926990588,-1865.25315418647,0.06979053,-0.13562635,1.78442280945758,1.31320368474923,0.0506622162162162,0.194478045085444,3.174,0.396711635750422,3.67279130715782,0.388345384942578,1.26981919332406,-0.000640376092288406,0.2552,0.259983136593592,-0.0156815440289506,0.154406226462465,0.251054043694902,-0.169676926990588,1.32027027027027,0.138031450203844,-0.638618246235607,-0.169676926990588,-0.0156815440289506,Inf,0.424769703172978,1.26981919332406,0.0856208802456499,705.147058823529,2.20540540540541,-0.935472788271273,-534.852941176471,-534.852941176471,0.971621621621622,1.32027027027027,2.20540540540541
"02",195.577,"Fraxinus angustifolia","83,199,254,290","131,207,295","-",2,26498,0.0685,0.07,0.0694,0.0699,0.0937,0.1205,0.1368,0.1564,0.1564,0.1613,0.2109,0.154,4831858.18870665,2865101.16611861,195.577328935708,2019-03-24,83,0.382235969951392,0.145476772616137,0.181833471618389,2.23748211731044,0.495821552629338,0.259746311157132,0.148599881843259,0.12378,0.122055128690447,0.0253888125894134,0.154725,0.122055128690447,0.205795584316711,-0.00358937544867193,-0.148380070786823,-2252.36673773987,0.06819066,-0.11995521,1.73631123919308,1.28601921024546,0.0518557081545064,0.199639825195195,3.016,0.388422448077773,3.73686331076862,0.385296722763508,1.2536023054755,3.04895696949594e-05,0.2527,0.267216084843129,0.00773195876288664,0.155933132365032,0.250699720111955,-0.148380070786823,1.34048640915594,0.145476772616137,-0.634323123684826,-0.148380070786823,0.00773195876288664,Inf,0.459978655282818,1.2536023054755,0.0860346851654216,710.643656716418,2.23748211731044,-0.942198538916489,-693.320895522388,-693.320895522388,0.992846924177396,1.34048640915594,2.23748211731044
"03",196.401,"Quercus cerris","83,199,254,290","131,207,295","-",3,35268,0.0696,0.0735,0.0766,0.0857,0.1111,0.1365,0.1479,0.1756,0.1756,0.1708,0.2632,0.1979,4831493.74258821,2864591.39278983,196.400558707695,2019-03-24,83,0.344048985840031,0.129065040650407,0.175869280509755,2.049008168028,0.431435701674373,0.247529076667458,0.149638632597412,0.11526,0.109352844616479,0.0239830805134189,0.144075,0.109352844616479,0.19740020201133,-0.0560690080098583,-0.199635369188696,-2508.88960308533,0.06923018,-0.163553,1.78198433420366,1.22862286228623,0.0493648774795799,0.199430621017098,2.684,0.40566398775354,4.05393019719727,0.392545598731166,1.29242819843342,-0.00323199653533657,0.2559,0.222537313432836,-0.0597054886211513,0.141617870310128,0.224973840251134,-0.199635369188696,1.29638273045508,0.129065040650407,-0.659887662211892,-0.199635369188696,-0.0597054886211513,Inf,0.331233123312331,1.29242819843342,0.0764203420342034,691.663385826772,2.049008168028,-0.923208184153528,-884.124015748031,-884.124015748031,0.893815635939323,1.29638273045508,2.049008168028
"04",199.188,"Quercus cerris","83,199,254,290","131,207,295","-",4,35266,0.0704,0.0726,0.0745,0.0798,0.1023,0.1273,0.1415,0.1664,0.1664,0.1761,0.2441,0.1847,4831456.8837614,2864591.58094102,199.187810994221,2019-03-24,83,0.35174654752234,0.123558484349259,0.174531518687699,2.08521303258145,0.44402667308518,0.247306745445593,0.145930058504816,0.116436,0.111944427705962,0.0217163157894737,0.145545,0.111944427705962,0.19669301353684,-0.0343486714193131,-0.189281364190012,-2454.45730027548,0.06680427,-0.14955231,1.70872483221477,1.24437927663734,0.046116992481203,0.186476888845511,2.638,0.389926888708367,3.64764772645266,0.381486093814861,1.23355704697987,-0.00202195168805291,0.2724,0.231543460601137,-0.0521219025918541,0.138526119402985,0.238556010420543,-0.189281364190012,1.28195488721805,0.123558484349259,-0.654914973040232,-0.189281364190012,-0.0521219025918541,Inf,0.383186705767351,1.23355704697987,0.076778201368524,699.02,2.08521303258145,-0.932307729144113,-810.65,-810.65,0.933583959899749,1.28195488721805,2.08521303258145
"05",199.002,"Carpinus betulus","83,199,254,290","131,207,295","-",5,37640,0.0669,0.0705,0.0704,0.0739,0.1005,0.1282,0.1435,0.1677,0.1677,0.1612,0.2257,0.1647,4831620.15384711,2864450.84181864,199.00179189293,2019-03-24,83,0.388245033112583,0.152522935779817,0.190833393581837,2.26928281461434,0.506413892200395,0.27093625498008,0.159543242689817,0.129612,0.126654606163712,0.0279876860622463,0.162015,0.126654606163712,0.216658197440754,-0.0242550242550243,-0.147432638535841,-2277.70540492101,0.07341515,-0.12993988,1.82102272727273,1.27562189054726,0.0552393775372124,0.20388329919624,3.118,0.417218543046358,4.25429669832655,0.408651826963461,1.38210227272727,-0.000971970298974087,0.2485,0.274246688741722,0.00902527075812275,0.15625,0.250559284116331,-0.147432638535841,1.35994587280108,0.152522935779817,-0.630087129149663,-0.147432638535841,0.00902527075812275,Inf,0.427860696517413,1.38210227272727,0.0887832835820896,707.64440433213,2.26928281461434,-0.931021923873704,-737.969314079422,-737.969314079422,0.952638700947226,1.35994587280108,2.26928281461434
"06",201.739,"Carpinus betulus","83,199,254,290","131,207,295","-",6,38318,0.0668,0.0683,0.0688,0.0692,0.0947,0.12,0.1326,0.1561,0.1561,0.1605,0.2038,0.151,4831652.70542044,2864406.9284172,201.739473861815,2019-03-24,83,0.385707944962273,0.155582672361196,0.183079273587213,2.25578034682081,0.501925546364003,0.261624708019725,0.14947665865063,0.124512,0.123022562782628,0.0278078612716763,0.15564,0.123022562782628,0.205136679099193,-0.00289855072463766,-0.132536815782162,-2409.77841306952,0.06796051,-0.11424071,1.74418604651163,1.26715945089757,0.0552335549132948,0.211117502361935,3.032,0.39636040834443,3.97522163011714,0.388172521120498,1.26889534883721,-0.000275708484229341,0.2518,0.271278295605859,0.0166069684141974,0.148816234498309,0.24481658692185,-0.132536815782162,1.36849710982659,0.155582672361196,-0.631883032661243,-0.132536815782162,0.0166069684141974,Inf,0.400211193241816,1.26889534883721,0.080337909186906,704.565217391304,2.25578034682081,-0.94249526320966,-769.525691699605,-769.525691699605,0.994219653179191,1.36849710982659,2.25578034682081
"07",199.619,"Fraxinus angustifolia","83,199,254,290","131,207,295","-",7,37636,0.0697,0.0704,0.0692,0.0702,0.095,0.118,0.1294,0.1502,0.1502,0.1586,0.2127,0.1621,4831536.90426905,2864448.82621867,199.619340886907,2019-03-24,83,0.362976406533575,0.150121065375303,0.170405729136922,2.13960113960114,0.46273754980213,0.243953732912723,0.13759875146465,0.11364,0.111791346467645,0.0265783475783476,0.14205,0.111791346467645,0.191681042744873,-0.00717360114777619,-0.172223753100028,-2539.77075098814,0.0623931,-0.12693114,1.70520231213873,1.24210526315789,0.0534512820512821,0.219104177718833,2.828,0.36524500907441,3.92455126254944,0.36918869644485,1.17052023121387,6.26095099308682e-05,0.247,0.244682395644283,-0.0381043868075568,0.135005336179296,0.225122349102773,-0.172223753100028,1.35327635327635,0.150121065375303,-0.647500586716733,-0.172223753100028,-0.0381043868075568,Inf,0.362105263157895,1.17052023121387,0.0735326315789474,698.934782608696,2.13960113960114,-0.948330840975361,-875.978260869565,-875.978260869565,0.985754985754986,1.35327635327635,2.13960113960114
"09",201.425,"Quercus robur","83,199,254,290","131,207,295","-",8,30245,0.077,0.0807,0.0838,0.0982,0.128,0.1585,0.1787,0.2117,0.2117,0.2144,0.2954,0.199,4832426.37328814,2864886.64992896,201.425297672938,2019-03-24,83,0.366247176508551,0.131741821396994,0.203884905114922,2.15580448065173,0.468265807220113,0.280187273888061,0.183006430907279,0.140976,0.130525759062754,0.0273205702647658,0.17622,0.130525759062754,0.23731861330657,-0.0791208791208792,-0.165056201932558,-2243.17931216609,0.09137361,-0.16805511,1.89140811455847,1.23828125,0.0548321792260692,0.195698321573218,3.042,0.434656340755082,4.12067422434368,0.432825719120135,1.52625298329356,-0.00391165966131344,0.3306,0.248509196515005,0.0309228147065985,0.194983818770226,0.24639387695025,-0.165056201932558,1.30346232179226,0.131741821396994,-0.645304515372372,-0.165056201932558,0.0309228147065985,Inf,0.39609375,1.52625298329356,0.099681640625,701.83606557377,2.15580448065173,-0.887502360875252,-882.155737704918,-882.155737704918,0.853360488798371,1.30346232179226,2.15580448065173
"10",200.391,"Quercus robur","83,199,254,290","131,207,295","-",9,29905,0.0739,0.0765,0.0789,0.0909,0.1203,0.1485,0.1699,0.204,0.204,0.2056,0.2783,0.1873,4832389.42976451,2864915.37277998,200.391366965058,2019-03-24,83,0.38351983723296,0.139204545454545,0.208269281438833,2.24422442244224,0.498073570437128,0.288406243130358,0.184947016191988,0.144144,0.135586969414577,0.0279508910891089,0.18018,0.135586969414577,0.240505252413558,-0.0706713780918728,-0.154053493676135,-2491.936216567,0.09044019,-0.15716119,1.88212927756654,1.23441396508728,0.0553259405940594,0.19183336668982,2.976,0.441166497117667,4.3617192759546,0.44220572640509,1.58555133079848,-0.00338066813107847,0.3203,0.268718209562564,0.0426782519805775,0.195446735395189,0.258094357076781,-0.154053493676135,1.32343234323432,0.139204545454545,-0.633423180592992,-0.154053493676135,0.0426782519805775,Inf,0.412302576891105,1.58555133079848,0.0975187032418953,705.150709219858,2.24422442244224,-0.895118284399981,-942.260638297871,-942.260638297871,0.867986798679868,1.32343234323432,2.24422442244224
"11",196.089,"Populus alba","83,199,254,290","131,207,295","-",10,30281,0.0726,0.0793,0.0854,0.0916,0.1174,0.1481,0.1645,0.1865,0.1865,0.1932,0.2307,0.1659,4833149.89153988,2864896.59659328,196.089131515066,2019-03-24,83,0.341244156778137,0.123444976076555,0.179955745888386,2.03602620087336,0.426893899655248,0.251275964391691,0.15595099189613,0.126984,0.118993101517154,0.024864192139738,0.15873,0.118993101517154,0.20786787576116,-0.0350282485875706,-0.105944391179291,-2036.41825254363,0.07644101,-0.11754999,1.73419203747073,1.26149914821124,0.0527921397379913,0.210096257577977,3.142,0.409564904710536,3.19171430965214,0.371827877896285,1.18384074941452,-0.00306112180538017,0.2948,0.219255663430421,0.0584562996594778,0.16338880484115,0.227377426785127,-0.105944391179291,1.28165938864629,0.123444976076555,-0.661678004535147,-0.105944391179291,0.0584562996594778,Inf,0.401192504258944,1.18384074941452,0.0919632879045997,701.482084690554,2.03602620087336,-0.912427201501638,-725.415309446254,-725.415309446254,0.932314410480349,1.28165938864629,2.03602620087336
