ID,Name,Refl_file,Specular,m_d_tot,m_d,m_w_tot,V_tot,SMCv,SMCg,Clay,Silt,Sand,Density,OM,L,eps,d,K,a,psi,Slope,Intercept
1,Ithaca soil,phil14_034.csv,0,57.34,26.94,67.42,24.50,41.14,37.42,192,770,38,0.95,53,0.0101,0.69,0.0892,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_035.csv,0,57.34,26.94,67.31,24.50,40.69,37.01,192,770,38,0.95,53,0.0053,0.86,0.0934,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_036.csv,0,57.34,26.94,67.20,24.50,40.24,36.60,192,770,38,0.95,53,0.0052,0.87,0.0952,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_037.csv,0,57.34,26.94,67.09,24.50,39.80,36.19,192,770,38,0.95,53,0.0252,0.48,0.0917,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_038.csv,0,57.34,26.94,66.99,24.50,39.39,35.82,192,770,38,0.95,53,0.0237,0.50,0.0898,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_039.csv,0,57.34,26.94,66.88,24.50,38.94,35.41,192,770,38,0.95,53,0.0035,1.00,0.0736,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_040.csv,0,57.34,26.94,66.77,24.50,38.49,35.00,192,770,38,0.95,53,0.0046,0.89,0.0925,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_041.csv,0,57.34,26.94,66.66,24.50,38.04,34.60,192,770,38,0.95,53,0.0035,1.00,0.0714,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_042.csv,0,57.34,26.94,66.55,24.50,37.59,34.19,192,770,38,0.95,53,0.0043,0.90,0.0898,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_043.csv,0,57.34,26.94,66.45,24.50,37.18,33.82,192,770,38,0.95,53,0.0034,1.00,0.0718,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_044.csv,0,57.34,26.94,66.34,24.50,36.73,33.41,192,770,38,0.95,53,0.0033,1.00,0.0713,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_045.csv,0,57.34,26.94,66.23,24.50,36.29,33.00,192,770,38,0.95,53,0.0032,1.00,0.0713,41.87,7.35,910.85,1.1161,0.0156
