Wvl	R
350	0.0580
351	0.0667
352	0.0605
353	0.0546
354	0.0506
355	0.0551
356	0.0544
357	0.0533
358	0.0564
359	0.0540
360	0.0530
361	0.0553
362	0.0556
363	0.0541
364	0.0518
365	0.0551
366	0.0559
367	0.0558
368	0.0563
369	0.0544
370	0.0538
371	0.0560
372	0.0561
373	0.0569
374	0.0580
375	0.0564
376	0.0566
377	0.0575
378	0.0579
379	0.0574
380	0.0572
381	0.0578
382	0.0584
383	0.0581
384	0.0573
385	0.0595
386	0.0600
387	0.0596
388	0.0599
389	0.0612
390	0.0620
391	0.0616
392	0.0618
393	0.0616
394	0.0609
395	0.0622
396	0.0631
397	0.0635
398	0.0631
399	0.0632
400	0.0633
401	0.0631
402	0.0635
403	0.0642
404	0.0653
405	0.0653
406	0.0649
407	0.0645
408	0.0653
409	0.0656
410	0.0661
411	0.0673
412	0.0670
413	0.0668
414	0.0671
415	0.0671
416	0.0674
417	0.0678
418	0.0682
419	0.0685
420	0.0686
421	0.0686
422	0.0687
423	0.0692
424	0.0702
425	0.0703
426	0.0706
427	0.0710
428	0.0713
429	0.0714
430	0.0715
431	0.0720
432	0.0725
433	0.0730
434	0.0736
435	0.0737
436	0.0741
437	0.0747
438	0.0754
439	0.0758
440	0.0761
441	0.0766
442	0.0770
443	0.0773
444	0.0776
445	0.0780
446	0.0783
447	0.0785
448	0.0790
449	0.0793
450	0.0795
451	0.0797
452	0.0800
453	0.0803
454	0.0803
455	0.0804
456	0.0805
457	0.0807
458	0.0807
459	0.0808
460	0.0809
461	0.0811
462	0.0813
463	0.0814
464	0.0815
465	0.0814
466	0.0814
467	0.0816
468	0.0819
469	0.0820
470	0.0820
471	0.0822
472	0.0822
473	0.0823
474	0.0823
475	0.0827
476	0.0828
477	0.0828
478	0.0831
479	0.0833
480	0.0835
481	0.0837
482	0.0839
483	0.0841
484	0.0842
485	0.0844
486	0.0847
487	0.0851
488	0.0853
489	0.0855
490	0.0857
491	0.0863
492	0.0866
493	0.0868
494	0.0871
495	0.0876
496	0.0880
497	0.0882
498	0.0888
499	0.0891
500	0.0892
501	0.0898
502	0.0902
503	0.0906
504	0.0912
505	0.0915
506	0.0918
507	0.0921
508	0.0926
509	0.0930
510	0.0932
511	0.0938
512	0.0943
513	0.0948
514	0.0950
515	0.0956
516	0.0961
517	0.0964
518	0.0968
519	0.0971
520	0.0974
521	0.0979
522	0.0984
523	0.0989
524	0.0994
525	0.0998
526	0.1003
527	0.1008
528	0.1012
529	0.1016
530	0.1020
531	0.1025
532	0.1031
533	0.1037
534	0.1040
535	0.1046
536	0.1052
537	0.1056
538	0.1062
539	0.1067
540	0.1073
541	0.1077
542	0.1083
543	0.1089
544	0.1094
545	0.1100
546	0.1106
547	0.1112
548	0.1118
549	0.1124
550	0.1130
551	0.1136
552	0.1143
553	0.1150
554	0.1155
555	0.1161
556	0.1168
557	0.1174
558	0.1181
559	0.1188
560	0.1195
561	0.1201
562	0.1208
563	0.1215
564	0.1221
565	0.1227
566	0.1234
567	0.1241
568	0.1248
569	0.1254
570	0.1260
571	0.1267
572	0.1273
573	0.1278
574	0.1285
575	0.1290
576	0.1296
577	0.1302
578	0.1307
579	0.1313
580	0.1318
581	0.1323
582	0.1328
583	0.1333
584	0.1337
585	0.1342
586	0.1346
587	0.1350
588	0.1355
589	0.1359
590	0.1362
591	0.1364
592	0.1368
593	0.1371
594	0.1373
595	0.1377
596	0.1380
597	0.1384
598	0.1386
599	0.1388
600	0.1390
601	0.1391
602	0.1393
603	0.1396
604	0.1399
605	0.1400
606	0.1401
607	0.1404
608	0.1406
609	0.1408
610	0.1409
611	0.1410
612	0.1410
613	0.1411
614	0.1413
615	0.1415
616	0.1417
617	0.1418
618	0.1420
619	0.1422
620	0.1424
621	0.1425
622	0.1426
623	0.1427
624	0.1427
625	0.1428
626	0.1430
627	0.1431
628	0.1432
629	0.1433
630	0.1434
631	0.1435
632	0.1435
633	0.1436
634	0.1438
635	0.1440
636	0.1441
637	0.1440
638	0.1443
639	0.1444
640	0.1446
641	0.1447
642	0.1449
643	0.1451
644	0.1451
645	0.1452
646	0.1454
647	0.1456
648	0.1457
649	0.1459
650	0.1460
651	0.1461
652	0.1462
653	0.1464
654	0.1466
655	0.1466
656	0.1468
657	0.1470
658	0.1471
659	0.1472
660	0.1474
661	0.1475
662	0.1476
663	0.1477
664	0.1479
665	0.1481
666	0.1482
667	0.1484
668	0.1486
669	0.1487
670	0.1489
671	0.1490
672	0.1491
673	0.1492
674	0.1494
675	0.1496
676	0.1496
677	0.1497
678	0.1500
679	0.1502
680	0.1503
681	0.1504
682	0.1506
683	0.1508
684	0.1509
685	0.1510
686	0.1511
687	0.1514
688	0.1515
689	0.1516
690	0.1517
691	0.1519
692	0.1521
693	0.1523
694	0.1524
695	0.1526
696	0.1527
697	0.1530
698	0.1531
699	0.1532
700	0.1534
701	0.1536
702	0.1538
703	0.1540
704	0.1541
705	0.1543
706	0.1545
707	0.1546
708	0.1548
709	0.1549
710	0.1551
711	0.1553
712	0.1554
713	0.1556
714	0.1557
715	0.1559
716	0.1561
717	0.1562
718	0.1564
719	0.1566
720	0.1568
721	0.1569
722	0.1571
723	0.1573
724	0.1575
725	0.1576
726	0.1578
727	0.1580
728	0.1581
