Wvl	R
350	0.0758
351	0.0697
352	0.0749
353	0.0728
354	0.0676
355	0.0776
356	0.0812
357	0.0810
358	0.0775
359	0.0768
360	0.0766
361	0.0762
362	0.0787
363	0.0805
364	0.0811
365	0.0783
366	0.0787
367	0.0803
368	0.0812
369	0.0812
370	0.0812
371	0.0813
372	0.0814
373	0.0818
374	0.0823
375	0.0829
376	0.0841
377	0.0851
378	0.0843
379	0.0852
380	0.0858
381	0.0854
382	0.0866
383	0.0875
384	0.0879
385	0.0884
386	0.0883
387	0.0882
388	0.0893
389	0.0906
390	0.0915
391	0.0917
392	0.0913
393	0.0917
394	0.0929
395	0.0930
396	0.0937
397	0.0946
398	0.0944
399	0.0951
400	0.0958
401	0.0961
402	0.0954
403	0.0957
404	0.0972
405	0.0973
406	0.0981
407	0.0992
408	0.0996
409	0.0999
410	0.1000
411	0.0998
412	0.1004
413	0.1013
414	0.1024
415	0.1027
416	0.1031
417	0.1034
418	0.1037
419	0.1041
420	0.1046
421	0.1055
422	0.1060
423	0.1065
424	0.1068
425	0.1079
426	0.1086
427	0.1092
428	0.1099
429	0.1105
430	0.1111
431	0.1119
432	0.1129
433	0.1137
434	0.1143
435	0.1155
436	0.1163
437	0.1169
438	0.1176
439	0.1185
440	0.1192
441	0.1198
442	0.1206
443	0.1213
444	0.1221
445	0.1228
446	0.1232
447	0.1235
448	0.1243
449	0.1250
450	0.1255
451	0.1259
452	0.1263
453	0.1267
454	0.1271
455	0.1274
456	0.1277
457	0.1280
458	0.1283
459	0.1285
460	0.1286
461	0.1288
462	0.1291
463	0.1294
464	0.1296
465	0.1298
466	0.1300
467	0.1301
468	0.1302
469	0.1303
470	0.1305
471	0.1311
472	0.1313
473	0.1315
474	0.1318
475	0.1320
476	0.1322
477	0.1325
478	0.1328
479	0.1332
480	0.1336
481	0.1340
482	0.1345
483	0.1349
484	0.1352
485	0.1356
486	0.1361
487	0.1368
488	0.1373
489	0.1379
490	0.1384
491	0.1390
492	0.1394
493	0.1399
494	0.1406
495	0.1413
496	0.1420
497	0.1427
498	0.1435
499	0.1442
500	0.1449
501	0.1457
502	0.1462
503	0.1468
504	0.1477
505	0.1485
506	0.1494
507	0.1502
508	0.1509
509	0.1517
510	0.1525
511	0.1534
512	0.1541
513	0.1548
514	0.1557
515	0.1564
516	0.1572
517	0.1581
518	0.1587
519	0.1595
520	0.1604
521	0.1611
522	0.1620
523	0.1628
524	0.1635
525	0.1643
526	0.1651
527	0.1660
528	0.1668
529	0.1676
530	0.1683
531	0.1690
532	0.1697
533	0.1705
534	0.1711
535	0.1719
536	0.1727
537	0.1734
538	0.1741
539	0.1748
540	0.1754
541	0.1762
542	0.1769
543	0.1775
544	0.1782
545	0.1788
546	0.1795
547	0.1802
548	0.1807
549	0.1813
550	0.1818
551	0.1824
552	0.1830
553	0.1835
554	0.1841
555	0.1846
556	0.1851
557	0.1856
558	0.1861
559	0.1865
560	0.1870
561	0.1875
562	0.1880
563	0.1884
564	0.1889
565	0.1893
566	0.1896
567	0.1900
568	0.1904
569	0.1908
570	0.1911
571	0.1915
572	0.1918
573	0.1921
574	0.1925
575	0.1928
576	0.1931
577	0.1934
578	0.1937
579	0.1941
580	0.1944
581	0.1947
582	0.1950
583	0.1953
584	0.1956
585	0.1959
586	0.1962
587	0.1965
588	0.1967
589	0.1970
590	0.1972
591	0.1974
592	0.1975
593	0.1975
594	0.1975
595	0.1976
596	0.1977
597	0.1980
598	0.1984
599	0.1988
600	0.1990
601	0.1994
602	0.1999
603	0.2003
604	0.2006
605	0.2007
606	0.2007
607	0.2005
608	0.2004
609	0.2005
610	0.2006
611	0.2008
612	0.2009
613	0.2010
614	0.2011
615	0.2015
616	0.2018
617	0.2019
618	0.2020
619	0.2020
620	0.2020
621	0.2020
622	0.2021
623	0.2022
624	0.2023
625	0.2024
626	0.2025
627	0.2027
628	0.2028
629	0.2029
630	0.2030
631	0.2032
632	0.2033
633	0.2034
634	0.2035
635	0.2037
636	0.2039
637	0.2040
638	0.2043
639	0.2046
640	0.2047
641	0.2049
642	0.2052
643	0.2055
644	0.2057
645	0.2059
646	0.2061
647	0.2063
648	0.2065
