wavelength,Refrac_leafm,SC_chl,SC_car,SC_Anth,SC_Brwon,SC_Cw,SC_Cm,direct_light,diffuse_light,dry_soil,wet_soil
440,1.498,7.38E-02,1.70E-01,4.48E-02,4.85E-01,1.04E-04,1.10E+01,8.63E-01,2.40E+00,2.22E-01,2.66E-02
441,1.4977,7.28E-02,1.70E-01,4.49E-02,4.84E-01,1.05E-04,1.04E+01,8.74E-01,2.41E+00,2.22E-01,2.65E-02
442,1.4974,7.16E-02,1.70E-01,4.51E-02,4.83E-01,1.06E-04,9.92E+00,8.86E-01,2.42E+00,2.22E-01,2.63E-02
443,1.4972,7.05E-02,1.70E-01,4.52E-02,4.82E-01,1.07E-04,9.41E+00,8.97E-01,2.44E+00,2.22E-01,2.62E-02
444,1.4969,6.91E-02,1.70E-01,4.54E-02,4.81E-01,1.08E-04,8.95E+00,9.08E-01,2.45E+00,2.22E-01,2.60E-02
445,1.4966,6.76E-02,1.70E-01,4.56E-02,4.79E-01,1.09E-04,8.51E+00,9.20E-01,2.46E+00,2.21E-01,2.59E-02
446,1.4964,6.60E-02,1.70E-01,4.58E-02,4.78E-01,1.10E-04,8.09E+00,9.31E-01,2.47E+00,2.22E-01,2.58E-02
447,1.4962,6.45E-02,1.70E-01,4.59E-02,4.77E-01,1.11E-04,7.64E+00,9.42E-01,2.48E+00,2.22E-01,2.57E-02
448,1.4959,6.27E-02,1.69E-01,4.60E-02,4.76E-01,1.12E-04,7.27E+00,9.53E-01,2.49E+00,2.22E-01,2.55E-02
449,1.4957,6.08E-02,1.69E-01,4.62E-02,4.75E-01,1.13E-04,6.94E+00,9.65E-01,2.51E+00,2.22E-01,2.54E-02
450,1.4955,5.88E-02,1.67E-01,4.64E-02,4.73E-01,1.14E-04,6.66E+00,9.76E-01,2.52E+00,2.22E-01,2.53E-02
451,1.4953,5.68E-02,1.66E-01,4.67E-02,4.72E-01,1.15E-04,6.42E+00,9.87E-01,2.53E+00,2.22E-01,2.52E-02
452,1.4951,5.47E-02,1.64E-01,4.70E-02,4.71E-01,1.16E-04,6.22E+00,9.99E-01,2.54E+00,2.22E-01,2.52E-02
453,1.4949,5.28E-02,1.63E-01,4.72E-02,4.70E-01,1.17E-04,6.01E+00,1.01E+00,2.55E+00,2.22E-01,2.51E-02
454,1.4947,5.11E-02,1.61E-01,4.74E-02,4.68E-01,1.18E-04,5.78E+00,1.02E+00,2.57E+00,2.22E-01,2.51E-02
455,1.4945,4.96E-02,1.60E-01,4.76E-02,4.67E-01,1.19E-04,5.57E+00,1.03E+00,2.58E+00,2.22E-01,2.50E-02
456,1.4943,4.81E-02,1.58E-01,4.78E-02,4.66E-01,1.20E-04,5.37E+00,1.04E+00,2.59E+00,2.22E-01,2.50E-02
457,1.4942,4.68E-02,1.57E-01,4.81E-02,4.65E-01,1.21E-04,5.17E+00,1.06E+00,2.60E+00,2.22E-01,2.50E-02
458,1.494,4.56E-02,1.55E-01,4.83E-02,4.63E-01,1.22E-04,4.95E+00,1.07E+00,2.61E+00,2.23E-01,2.50E-02
459,1.4939,4.47E-02,1.53E-01,4.86E-02,4.62E-01,1.23E-04,4.76E+00,1.08E+00,2.62E+00,2.23E-01,2.50E-02
460,1.4937,4.39E-02,1.52E-01,4.88E-02,4.61E-01,1.24E-04,4.58E+00,1.09E+00,2.64E+00,2.23E-01,2.50E-02
461,1.4935,4.32E-02,1.50E-01,4.91E-02,4.60E-01,1.25E-04,4.42E+00,1.09E+00,2.63E+00,2.23E-01,2.50E-02
462,1.4934,4.27E-02,1.48E-01,4.94E-02,4.59E-01,1.26E-04,4.26E+00,1.10E+00,2.63E+00,2.23E-01,2.50E-02
463,1.4932,4.22E-02,1.47E-01,4.96E-02,4.58E-01,1.27E-04,4.12E+00,1.11E+00,2.63E+00,2.23E-01,2.50E-02
464,1.4931,4.18E-02,1.45E-01,4.98E-02,4.57E-01,1.28E-04,4.01E+00,1.11E+00,2.63E+00,2.23E-01,2.50E-02
465,1.4929,4.13E-02,1.43E-01,5.01E-02,4.56E-01,1.29E-04,3.95E+00,1.12E+00,2.63E+00,2.24E-01,2.50E-02
466,1.4928,4.09E-02,1.42E-01,5.04E-02,4.55E-01,1.30E-04,3.85E+00,1.12E+00,2.62E+00,2.24E-01,2.50E-02
467,1.4927,4.06E-02,1.41E-01,5.08E-02,4.54E-01,1.32E-04,3.78E+00,1.13E+00,2.62E+00,2.24E-01,2.50E-02
468,1.4925,4.03E-02,1.39E-01,5.11E-02,4.53E-01,1.33E-04,3.67E+00,1.13E+00,2.62E+00,2.24E-01,2.50E-02
469,1.4924,4.00E-02,1.38E-01,5.16E-02,4.52E-01,1.34E-04,3.55E+00,1.14E+00,2.62E+00,2.24E-01,2.50E-02
470,1.4923,3.97E-02,1.37E-01,5.19E-02,4.50E-01,1.35E-04,3.46E+00,1.14E+00,2.62E+00,2.25E-01,2.50E-02
471,1.4922,3.95E-02,1.36E-01,5.24E-02,4.49E-01,1.36E-04,3.36E+00,1.15E+00,2.61E+00,2.25E-01,2.50E-02
472,1.492,3.93E-02,1.35E-01,5.28E-02,4.48E-01,1.38E-04,3.28E+00,1.15E+00,2.61E+00,2.25E-01,2.50E-02
473,1.4919,3.90E-02,1.35E-01,5.34E-02,4.47E-01,1.40E-04,3.18E+00,1.16E+00,2.61E+00,2.25E-01,2.50E-02
474,1.4917,3.88E-02,1.35E-01,5.40E-02,4.46E-01,1.41E-04,3.10E+00,1.16E+00,2.61E+00,2.25E-01,2.50E-02
475,1.4916,3.85E-02,1.34E-01,5.45E-02,4.45E-01,1.42E-04,3.05E+00,1.17E+00,2.61E+00,2.26E-01,2.50E-02
476,1.4915,3.83E-02,1.34E-01,5.49E-02,4.44E-01,1.44E-04,2.98E+00,1.17E+00,2.60E+00,2.26E-01,2.48E-02
477,1.4914,3.79E-02,1.34E-01,5.55E-02,4.43E-01,1.46E-04,2.95E+00,1.18E+00,2.60E+00,2.26E-01,2.47E-02
