n.sim,ShortIn,ShortLong,HemisOutIn,HemisOutLong
1,600,300,32.2354602618455,436.439929404029
2,600,300,55.4080194414568,495.688979615274
3,600,300,27.6495771607363,436.246218915045
4,600,300,50.5992500418456,447.893293588844
5,600,300,81.047700118038,420.659412097815
6,600,300,41.8842092643414,436.224005093124
7,600,300,45.9694236160599,434.543861921026
8,600,300,56.6418828026676,436.787309514898
9,600,300,70.1699132243153,426.919239251731
10,600,300,71.0507062279969,442.906359922958
11,600,300,57.0693022445755,456.169327177619
12,600,300,28.2175834828924,424.839490626902
13,600,300,98.9372672914454,470.612112926292
14,600,300,85.185777722955,432.521449958451
15,600,300,55.54693857442,467.230828573401
16,600,300,91.0268370392525,429.435718378141
17,600,300,35.6433483932353,420.120698383957
18,600,300,32.556388578517,433.264757143162
19,600,300,70.7543132781062,478.339837207296
20,600,300,51.3019224834453,427.82531235027
21,600,300,81.6678711357943,447.581551279634
22,600,300,33.5072558154708,433.057057338872
23,600,300,54.8126841898363,439.258763242877
24,600,300,52.2576766657922,431.286137949721
25,600,300,37.6619688634687,429.020433906504
26,600,300,54.7584172809222,424.330652527882
27,600,300,50.3786259276731,449.508191216536
28,600,300,80.4728209655961,462.779178424548
29,600,300,98.557995881761,424.384403760452
30,600,300,60.2247256367223,437.798880964713
31,600,300,46.9482982201546,438.392865115287
32,600,300,48.4112323248905,438.118360859424
33,600,300,108.752237552593,423.393684109357
34,600,300,68.5148971295927,438.154895396089
35,600,300,35.9767825450307,427.01016074154
36,600,300,83.461592721302,415.252017764225
37,600,300,82.6211139977326,500.102577664259
38,600,300,93.3762592217999,426.092674164949
39,600,300,104.959974237739,432.31535422205
40,600,300,35.3832905432881,426.099985044813
41,600,300,38.3206312096298,449.267687525982
42,600,300,27.4535730729964,435.963779936904
43,600,300,82.7509917794165,485.902984864736
44,600,300,58.6841539182151,420.67272208125
45,600,300,42.0503729375678,431.755566686146
46,600,300,29.4666685359749,510.75639507026
47,600,300,37.1091092684163,433.543410401728
48,600,300,38.4177933081932,437.65666467359
49,600,300,40.6733397305583,434.503793037345
50,600,300,78.3356673799594,419.982762429571
51,600,300,46.4661151984272,431.070251781065
52,600,300,36.5620385652961,469.273701516222
53,600,300,44.2581544754621,439.367597895564
54,600,300,77.5854642790199,436.732056709643
55,600,300,51.1013130101925,444.868138193725
56,600,300,32.8411521222219,438.754126992593
57,600,300,41.3235114274627,443.545712145014
58,600,300,33.0646507111388,424.195811719202
59,600,300,30.9444417711799,462.07687687595
60,600,300,36.0522112355088,472.000523473554
61,600,300,53.530258259037,453.18389697915
62,600,300,106.820132705413,414.577241554757
63,600,300,25.7709596031566,436.716438338999
64,600,300,32.5554334830169,425.988868989499
65,600,300,59.5691727797417,429.712113508602
66,600,300,79.4270167525096,428.747446807122
67,600,300,90.6085601976238,425.273714695422
68,600,300,88.0311540854021,415.579865229798
69,600,300,20.7642313502671,441.782152560231
70,600,300,73.8953017038524,441.658655448506
71,600,300,70.3649633538877,463.654662467648
72,600,300,93.5748055458041,428.042033949895
73,600,300,85.2746746698614,434.63451838117
74,600,300,22.8689815649719,433.664050302412
75,600,300,48.5273438563237,443.855646743343
76,600,300,72.6279986085687,472.75751522262
77,600,300,72.131824103867,419.386945443533
78,600,300,52.7465315771135,442.66908324276
79,600,300,76.0342113819354,416.712411560677
80,600,300,64.1483056965964,431.5752552503
81,600,300,49.50526152791,441.658508520848
82,600,300,39.2054197614402,426.470477229143
83,600,300,31.8832854981967,429.958084514103
84,600,300,95.0903895781696,413.379855322505
85,600,300,90.9215379946636,419.487805343409
86,600,300,85.9080637505126,428.606810807979
87,600,300,63.1891758854635,421.339889742821
88,600,300,66.2763519458919,428.705463283107
89,600,300,80.0706812013514,436.148029442703
90,600,300,46.0180078794899,420.645122676312
91,600,300,57.5656317799122,431.787439898732
92,600,300,50.6798666104075,444.274471873433
93,600,300,40.7191779547716,432.829197185774
94,600,300,114.863536165626,413.325176034391
95,600,300,17.97292168896,425.038469081075
96,600,300,84.2725427939429,414.250868781081
97,600,300,43.1010053118392,434.008957028143
98,600,300,54.1506832498043,419.143808246138
99,600,300,44.4243024607677,467.748088428232
100,600,300,73.5446803887172,509.687845580468
