Cab,Car,Anth,LMA,EWT,Cbrown,Prot,CBC,N,alpha,LIDFa,LIDFb,TypeLidf,LAI,hspot,tts,tto,psi,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
17.7326999,3.082217256,0.509544559,0.018253282,0.022855005,0.54142741,0.002701576,0.034303397,2.811614045,40,49.29461033,0,2,6.694699478,0.058594625,20.63071337,10.60532404,112.2654761,0.023259396,0.044894407,0.100614941,0.04614657,0.148995563,0.240051047,0.268658101,0.284693283,0.291472358,0.294954123,0.199866796,0.141183517,0.046337517
31.77773408,7.741203607,0.982957026,0.01354811,0.039333557,0.34071119,0.002512145,0.013033807,1.441395842,40,81.54748234,0,2,3.398314171,0.419957803,23.57139752,8.516091214,46.31594965,0.015506215,0.017845453,0.03471252,0.026947169,0.055496662,0.124139154,0.151632688,0.165273152,0.170933017,0.17540463,0.107225452,0.096848075,0.060321424
29.82393849,5.969905999,0.00847617,0.036019259,0.030603599,0.961751851,0.003702019,0.010954237,1.663365636,40,79.32269173,0,2,2.259411111,0.157927867,19.85412553,9.627557849,90.07680496,0.022752931,0.025917312,0.041143957,0.039790817,0.065435428,0.111556702,0.136584971,0.157256798,0.166859771,0.18272788,0.146379412,0.136721641,0.091158917
14.54963583,10.33799151,3.516616556,0.02406282,0.017922993,0.377567354,0.001006028,0.034450627,2.58691381,40,63.80234497,0,2,4.432132484,0.348908704,38.57996379,7.749059064,94.37437249,0.014251465,0.019524058,0.064672438,0.04097452,0.127955796,0.200637137,0.220879285,0.231397035,0.235758008,0.238456241,0.171081814,0.121906619,0.042181753
9.504220638,12.48485538,0.410852197,0.023966309,0.018831203,0.071324797,0.003468171,0.036840188,2.325153286,40,38.8623363,0,2,6.840842397,0.223195959,20.3371913,3.153863082,116.1655351,0.023683882,0.033467907,0.199179636,0.096758769,0.249833145,0.338897795,0.352841904,0.356866752,0.358360718,0.356505303,0.255802531,0.176283364,0.053445459
5.286339244,7.895516707,1.261891269,0.019527708,0.025187436,0.393273597,0.003025883,0.021088609,2.015690876,40,42.35587348,0,2,3.767243124,0.09056644,17.78832497,5.626944305,118.1032039,0.022751009,0.032965781,0.128787985,0.105273071,0.228076453,0.298763136,0.326701168,0.346023567,0.354015826,0.355244029,0.209549331,0.149333295,0.046004992
23.87740187,7.024704437,1.076758828,0.030186775,0.038879625,0.074610485,0.002796731,0.037196714,2.779709185,40,66.5347667,0,2,2.942899199,0.124516897,40.25307725,6.14277382,107.0647705,0.014413007,0.022392382,0.069930041,0.027031335,0.095927719,0.176146654,0.190820506,0.193821348,0.194875762,0.192051601,0.112488126,0.082846339,0.031809679
31.32366868,9.45481516,1.274784148,0.029632656,0.033088532,0.112336919,0.001098856,0.031726649,2.026246416,40,78.17857029,0,2,0.990432987,0.379382265,27.11923928,13.50364885,85.61736678,0.042424161,0.045803654,0.067716318,0.068575583,0.096270417,0.134799249,0.148099302,0.158655833,0.163041835,0.177142753,0.18500468,0.18413318,0.140208717
11.30382419,11.88199604,3.180465803,0.019571235,0.016196387,0.008336365,0.003042847,0.022934908,1.808217117,40,40.05692795,0,2,6.152814341,0.483332828,31.50615128,3.335341903,121.0329877,0.022613534,0.027580306,0.126715211,0.072421575,0.249584419,0.392963082,0.412301577,0.413876491,0.414299258,0.408776765,0.276868257,0.194708427,0.060669688
27.48529008,4.590671795,1.805941741,0.024936214,0.026251712,0.220849425,0.004543449,0.032993938,2.846446085,40,59.93956983,0,2,0.721329732,0.402050303,37.33706608,4.21045684,118.9606729,0.045688891,0.054071047,0.085943178,0.071454552,0.122568146,0.176220622,0.191714969,0.202574988,0.207049998,0.219716882,0.213232989,0.197680839,0.133666765
