Cab,Car,Anth,LMA,EWT,Cbrown,Prot,CBC,N,alpha,LIDFa,LIDFb,TypeLidf,LAI,hspot,LAIu,sd,h,cd,tts,tto,psi,psoil,skyl,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
62.99851747,9.697807398,3.910245423,0.00553894,0.012391454,0.412435552,0.002830117,0.004910494,2.350483655,40,81.42682438,0,2,3.772065077,0.668621238,0.70096847,172.3412347,20,4.472605847,65.47961997,9.4602766,106.7924144,0,0.1,0.018156306,0.053105453,0.041098495,0.026473393,0.047658171,0.108308615,0.128656205,0.13088626,0.145703885,0.150056977,0.097535039,0.083641262,0.043079478
41.42076883,10.70473923,0.742235092,0.00455408,0.023314404,0.705038458,0.004422699,0.016030853,2.189086334,40,85.7838617,0,2,6.330371631,0.270788853,0.226853109,452.2563049,20,4.619263431,56.77270786,3.148740332,53.18110232,0,0.1,0.00966605,0.016245291,0.016924864,0.013912854,0.021870966,0.0494001,0.060346962,0.062178472,0.074430038,0.078401324,0.053314357,0.045955908,0.02546327
37.87992279,11.03356265,0.581354137,0.007129781,0.018757279,0.502987157,0.004090002,0.00863504,2.137134772,40,74.99078945,0,2,5.816425828,0.942002793,0.430075278,256.4092083,20,4.835607452,44.03150021,6.927695367,33.58083532,0,0.1,0.024364351,0.048596814,0.04597847,0.036536307,0.057067545,0.117523476,0.138577689,0.141807925,0.163486135,0.171001668,0.122512976,0.109401252,0.065462319
53.30902882,13.07507608,2.53010766,0.001314723,0.020954668,0.616220621,0.003465071,0.003477444,1.516812273,40,73.84592663,0,2,5.188550898,0.072809363,0.45083533,314.754504,20,4.995743786,72.50931219,6.202043048,29.56624592,0,0.1,0.006516117,0.01360347,0.014379513,0.008199866,0.019651981,0.094931517,0.133332725,0.138877849,0.176550516,0.184790192,0.084796934,0.066847399,0.022328295
53.66309198,12.45397881,3.34131369,0.006067339,0.01684953,0.117727699,0.004389598,0.014887872,2.415488791,40,73.55797398,0,2,4.687520609,0.457408389,0.239950006,151.6228867,20,4.222943124,43.08017335,1.150285301,75.28259155,0,0.1,0.048208782,0.074272795,0.07112596,0.069624511,0.089324262,0.133167356,0.146777067,0.14868677,0.163005184,0.171822854,0.167770455,0.165036244,0.123589221
59.44264367,12.85110673,1.765976261,0.008265251,0.01111842,0.965198221,0.001512077,0.010660495,2.006754153,40,67.60501346,0,2,0.111812157,0.438866893,0.135204615,594.3850023,20,4.997328037,65.42428996,5.003667122,59.19553352,0,0.1,0.008959065,0.015671362,0.018946751,0.011615146,0.027756909,0.11392124,0.152972186,0.159327677,0.202727499,0.219685103,0.166153294,0.136868561,0.052652785
30.79608323,10.10385409,4.270989285,0.018659681,0.02917623,0.632080978,0.003537648,0.008035348,1.568970436,40,65.94926488,0,2,0.207637385,0.674884347,0.151859546,353.5980897,20,4.784883781,70.08740547,6.260058121,89.6108691,0,0.1,0.014142923,0.023296334,0.02689922,0.022509267,0.044986178,0.116656507,0.142795821,0.147382254,0.17691912,0.18349177,0.112648068,0.100103048,0.048806477
50.6728524,12.0620238,1.726530529,0.025191879,0.01750388,0.405312726,0.000807665,0.016475152,2.035736146,40,85.82918928,0,2,1.218581648,0.865587144,0.501944245,527.8164869,20,4.92154307,68.84399525,9.12699294,38.14359636,0,0.1,0.00389516,0.010493822,0.012014869,0.005580858,0.016163622,0.072593042,0.092770916,0.094887702,0.107229008,0.109758059,0.065098832,0.050383514,0.015064758
5.517323609,14.47768096,3.289005605,0.025297315,0.019550367,0.060456887,0.002143611,0.021001209,2.118545749,40,81.66499362,0,2,0.268443776,0.351062761,0.317260433,383.3776105,20,4.659868676,46.06452066,6.666537798,115.9824565,0,0.1,0.015652365,0.030284825,0.034780143,0.033760976,0.056190512,0.088541258,0.094441959,0.095412394,0.102575154,0.106062887,0.087253259,0.080863935,0.047279716
56.5930672,10.77732413,0.81073461,0.002343683,0.00979979,0.531428049,0.000607299,0.015836916,1.668775815,40,67.57084459,0,2,2.768041867,0.411663895,0.538186664,586.2789079,20,4.344268331,58.39405075,0.952725932,77.87102792,0,0.1,0.008836325,0.019978843,0.020643975,0.010977927,0.025456907,0.110080807,0.141563893,0.145116849,0.166505943,0.173198548,0.126620022,0.09858284,0.032190573
50.75604981,9.737881952,1.84566405,0.001592268,0.014796259,0.695760539,0.002179439,0.015724539,2.399299335,40,83.33144049,0,2,5.511911517,0.016183517,0.478123146,696.2687708,20,4.513689038,71.43045301,2.165024388,51.28194442,0,0.1,0.002440856,0.006498646,0.007744013,0.003227769,0.011006644,0.052032977,0.069516126,0.071998099,0.087663976,0.091995766,0.05628233,0.041318974,0.011381341
6.882155815,13.25478087,1.860931014,0.019622628,0.001282823,0.157646717,0.00392463,0.015184732,2.192526153,40,66.04013011,0,2,3.290007444,0.781299803,0.657483867,258.768659,20,4.460023909,37.58843942,3.076448587,101.9786872,0,0.1,0.022817497,0.0588172,0.060137688,0.04533074,0.081371181,0.14382704,0.154896342,0.156487028,0.167401809,0.172740547,0.149554282,0.123703307,0.064069199
51.24727541,3.72145784,1.885498303,0.004879878,0.021030575,0.553421214,0.00466151,0.020880075,1.74502964,40,82.13716544,0,2,1.778203689,0.10781759,0.617397588,675.8994271,20,4.592335023,44.30875437,0.231308003,29.22885439,0,0.1,0.00556482,0.016084418,0.013142027,0.007618007,0.016883858,0.061214885,0.077137416,0.079088757,0.090876832,0.093497448,0.054628396,0.040494062,0.013838301
68.51535236,12.05541217,4.096815491,0.027290662,0.020595362,0.028755628,0.000295841,0.018889544,2.418921496,40,79.48902992,0,2,3.841171142,0.564602894,0.315114068,305.3234912,20,4.866006268,57.69772227,7.548978224,74.36802945,0,0.1,0.014129445,0.026307698,0.024775686,0.020003274,0.03111915,0.084951215,0.10447119,0.105279132,0.110691768,0.112147313,0.08023073,0.071100425,0.038453495
