Wvl	R
362	-0.0460
363	-0.0328
364	-0.0196
365	-0.0064
366	0.0069
367	0.0201
368	0.0333
369	0.0465
370	0.0598
371	0.0627
372	0.0657
373	0.0687
374	0.0716
375	0.0746
376	0.0775
377	0.0805
378	0.0835
379	0.0768
380	0.0701
381	0.0634
382	0.0567
383	0.0500
384	0.0434
385	0.0367
386	0.0300
387	0.0310
388	0.0320
389	0.0330
390	0.0340
391	0.0351
392	0.0361
393	0.0371
394	0.0381
395	0.0376
396	0.0371
397	0.0366
398	0.0361
399	0.0356
400	0.0351
401	0.0347
402	0.0342
403	0.0332
404	0.0322
405	0.0312
406	0.0302
407	0.0292
408	0.0282
409	0.0272
410	0.0262
411	0.0306
412	0.0351
413	0.0395
414	0.0440
415	0.0484
416	0.0529
417	0.0573
418	0.0618
419	0.0630
420	0.0642
421	0.0655
422	0.0667
423	0.0680
424	0.0692
425	0.0704
426	0.0717
427	0.0708
428	0.0699
429	0.0690
430	0.0681
431	0.0672
432	0.0664
433	0.0655
434	0.0646
435	0.0651
436	0.0657
437	0.0663
438	0.0669
439	0.0674
440	0.0680
441	0.0686
442	0.0691
443	0.0708
444	0.0724
445	0.0741
446	0.0758
447	0.0774
448	0.0791
449	0.0808
450	0.0824
451	0.0827
452	0.0829
453	0.0832
454	0.0835
455	0.0837
456	0.0840
457	0.0842
458	0.0845
459	0.0844
460	0.0843
461	0.0842
462	0.0841
463	0.0840
464	0.0839
465	0.0838
466	0.0837
467	0.0839
468	0.0840
469	0.0842
470	0.0844
471	0.0845
472	0.0847
473	0.0849
474	0.0851
475	0.0856
476	0.0861
477	0.0866
478	0.0872
479	0.0877
480	0.0882
481	0.0888
482	0.0893
483	0.0900
484	0.0907
485	0.0914
486	0.0922
487	0.0929
488	0.0936
489	0.0943
490	0.0950
491	0.0960
492	0.0970
493	0.0980
494	0.0990
495	0.0999
496	0.1009
497	0.1019
498	0.1029
499	0.1034
500	0.1039
501	0.1044
502	0.1049
503	0.1054
504	0.1059
505	0.1064
506	0.1070
507	0.1080
508	0.1090
509	0.1101
510	0.1111
511	0.1121
512	0.1132
513	0.1142
514	0.1153
515	0.1161
516	0.1170
517	0.1179
518	0.1188
519	0.1196
520	0.1205
521	0.1214
522	0.1223
523	0.1232
524	0.1242
525	0.1252
526	0.1262
527	0.1271
528	0.1281
529	0.1291
530	0.1300
531	0.1318
532	0.1335
533	0.1352
534	0.1369
535	0.1386
536	0.1403
537	0.1420
538	0.1437
539	0.1445
540	0.1453
541	0.1461
542	0.1469
543	0.1477
544	0.1485
545	0.1494
546	0.1502
547	0.1512
548	0.1522
549	0.1533
550	0.1543
551	0.1553
552	0.1564
553	0.1574
554	0.1585
555	0.1593
556	0.1602
557	0.1610
558	0.1619
559	0.1627
560	0.1636
561	0.1644
