ID,Name,Origin,Refl_file,Specular,m_w_tot,m_d_tot,m_sh,SMCg,SMCv,Density,Remarks,L,eps,d,K,a,psi,Slope,Intercept
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_183.csv,0,401,316,19,28.6,32.1,1.1,nan,0.0264,0.55,0.0512,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_184.csv,0,393,316,19,25.9,29.0,1.1,nan,0.0256,0.55,0.0524,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_185.csv,0,385,316,19,23.2,26.0,1.1,nan,0.0055,0.93,0.0615,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_186.csv,0,377,316,19,20.5,23.0,1.1,nan,0.0237,0.54,0.0563,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_187.csv,0,370,316,19,18.2,20.4,1.1,nan,0.0054,0.93,0.0467,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_188.csv,0,361,316,19,15.2,17.0,1.1,nan,0.0235,0.52,0.0598,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_189.csv,0,354,316,19,12.8,14.3,1.1,nan,0.0217,0.54,0.0617,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_190.csv,0,350,316,19,11.4,12.8,1.1,nan,0.0046,0.92,0.0538,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_191.csv,0,344,316,19,9.4,10.6,1.1,nan,0.0219,0.51,0.0671,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_192.csv,0,338,316,19,7.4,8.3,1.1,nan,0.0033,1.00,0.0359,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_193.csv,0,334,316,19,6.1,6.8,1.1,nan,0.0032,1.00,0.0272,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_194.csv,0,330,316,19,4.7,5.3,1.1,nan,0.0025,1.00,0.0222,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_195.csv,0,327,316,19,3.7,4.1,1.1,nan,0.0025,0.92,0.0233,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_196.csv,0,325,316,19,3.0,3.4,1.1,nan,0.0023,0.85,0.0277,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_197.csv,0,323,316,19,2.4,2.6,1.1,nan,0.0025,0.73,0.0353,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_198.csv,0,321,316,19,1.7,1.9,1.1,nan,0.0019,0.75,0.0000,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_199.csv,0,320,316,19,1.3,1.5,1.1,nan,0.0151,0.24,0.0955,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_200.csv,0,318,316,19,0.7,0.8,1.1,nan,0.0016,0.38,0.0000,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_201.csv,0,317,316,19,0.3,0.4,1.1,nan,0.0019,0.26,0.0000,51.70,13.69,183.63,1.0654,0.0174
7,Sol 4 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_202.csv,0,316,316,19,0.0,0.0,1.1,dry,0.0000,0.00,0.0000,51.70,13.69,183.63,1.0654,0.0174
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_203.csv,0,822,561,19,48.2,49.1,1.0,nan,0.0405,0.62,0.0283,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_204.csv,0,801,561,19,44.3,45.2,1.0,nan,0.0333,0.61,0.0367,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_205.csv,0,778,561,19,40.0,40.8,1.0,nan,0.0303,0.60,0.0405,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_206.csv,0,758,561,19,36.3,37.1,1.0,nan,0.0289,0.59,0.0447,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_207.csv,0,739,561,19,32.8,33.5,1.0,nan,0.0278,0.58,0.0508,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_208.csv,0,728,561,19,30.8,31.4,1.0,nan,0.0249,0.61,0.0508,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_209.csv,0,717,561,19,28.8,29.4,1.0,nan,0.0213,0.61,0.0595,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_210.csv,0,707,561,19,26.9,27.5,1.0,nan,0.0229,0.58,0.0599,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_211.csv,0,697,561,19,25.1,25.6,1.0,nan,0.0206,0.59,0.0642,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_212.csv,0,685,561,19,22.9,23.3,1.0,nan,0.0242,0.54,0.0668,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_213.csv,0,673,561,19,20.7,21.1,1.0,nan,0.0222,0.57,0.0640,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_214.csv,0,664,561,19,19.0,19.4,1.0,nan,0.0218,0.55,0.0729,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_215.csv,0,650,561,19,16.4,16.7,1.0,nan,0.0204,0.56,0.0731,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_216.csv,0,639,561,19,14.4,14.7,1.0,nan,0.0201,0.56,0.0740,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_217.csv,0,626,561,19,12.0,12.2,1.0,nan,0.0224,0.52,0.0760,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_218.csv,0,618,561,19,10.5,10.7,1.0,nan,0.0201,0.54,0.0782,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_219.csv,0,610.5,561,19,9.1,9.3,1.0,nan,0.0205,0.55,0.0747,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_220.csv,0,602,561,19,7.6,7.7,1.0,nan,0.0185,0.54,0.0800,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_221.csv,0,593,561,19,5.9,6.0,1.0,nan,0.0168,0.54,0.0830,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_222.csv,0,588,561,19,5.0,5.1,1.0,nan,0.0189,0.48,0.0894,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_223.csv,0,582,561,19,3.9,4.0,1.0,nan,0.0172,0.48,0.0935,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_224.csv,0,577,561,19,3.0,3.0,1.0,nan,0.0024,0.94,0.0552,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_225.csv,0,572.5,561,19,2.1,2.2,1.0,nan,0.0152,0.39,0.1113,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_226.csv,0,568,561,19,1.3,1.3,1.0,nan,0.0028,0.56,0.1149,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_227.csv,0,566,561,19,0.9,0.9,1.0,nan,0.0135,0.24,0.1275,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_228.csv,0,564,561,19,0.6,0.6,1.0,nan,0.0120,0.22,0.1300,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_229.csv,0,563,561,19,0.4,0.4,1.0,nan,0.0112,0.15,0.1552,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_230.csv,0,562,561,19,0.2,0.2,1.0,nan,0.0019,0.19,0.0757,45.15,319.25,443.84,1.0558,0.0169
8,Sol 5 (peas),Parcelle Misset - 49.44819N- 4.31848E,mar12_231.csv,0,561,561,19,0.0,0.0,1.0,nan,0.0000,0.00,0.0000,45.15,319.25,443.84,1.0558,0.0169
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_232.csv,0,1197,958,19,25.5,36.1,1.4,nan,0.0219,0.58,0.0287,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_233.csv,0,1162,958,19,21.7,30.8,1.4,nan,0.0226,0.55,0.0332,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_234.csv,0,1150,958,19,20.4,29.0,1.4,nan,0.0202,0.58,0.0327,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_235.csv,0,1136,958,19,19.0,26.9,1.4,nan,0.0191,0.57,0.0354,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_236.csv,0,1122,958,19,17.5,24.8,1.4,nan,0.0188,0.57,0.0363,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_237.csv,0,1107,958,19,15.9,22.5,1.4,nan,0.0171,0.57,0.0381,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_238.csv,0,1093,958,19,14.4,20.4,1.4,nan,0.0181,0.57,0.0383,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_239.csv,0,1082,958,19,13.2,18.8,1.4,nan,0.0174,0.57,0.0390,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_240.csv,0,1068,958,19,11.7,16.6,1.4,nan,0.0199,0.54,0.0405,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_241.csv,0,1056,958,19,10.4,14.8,1.4,suspicious measurement,0.0182,0.57,0.0387,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_242.csv,0,1045,958,19,9.3,13.2,1.4,nan,0.0177,0.55,0.0429,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_243.csv,0,1033,958,19,8.0,11.3,1.4,nan,0.0177,0.56,0.0418,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_244.csv,0,1023,958,19,6.9,9.8,1.4,nan,0.0165,0.56,0.0451,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_245.csv,0,1015,958,19,6.1,8.6,1.4,nan,0.0172,0.55,0.0447,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_246.csv,0,1007,958,19,5.2,7.4,1.4,nan,0.0172,0.53,0.0496,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_247.csv,0,1002,958,19,4.7,6.7,1.4,nan,0.0178,0.52,0.0513,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_248.csv,0,996,958,19,4.0,5.7,1.4,nan,0.0174,0.53,0.0489,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_249.csv,0,990,958,19,3.4,4.8,1.4,nan,0.0168,0.53,0.0504,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_250.csv,0,984,958,19,2.8,3.9,1.4,nan,0.0159,0.51,0.0558,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_251.csv,0,978,958,19,2.1,3.0,1.4,nan,0.0138,0.53,0.0556,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_252.csv,0,974,958,19,1.7,2.4,1.4,nan,0.0144,0.49,0.0621,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_253.csv,0,970,958,19,1.3,1.8,1.4,nan,0.0135,0.49,0.0591,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_254.csv,0,967,958,19,1.0,1.4,1.4,nan,0.0129,0.45,0.0650,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_255.csv,0,963,958,19,0.5,0.8,1.4,nan,0.0110,0.39,0.0751,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_256.csv,0,960,958,19,0.2,0.3,1.4,nan,0.0087,0.28,0.0767,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_257.csv,0,959,958,19,0.1,0.2,1.4,nan,0.0066,0.21,0.0657,25.47,70398.13,1084.72,1.0318,0.0332
9,Sol 6 (potatoes),Parcelle Gentil 1 - 49.41349N- 4.23795E,mar12_258.csv,0,958,958,19,0.0,0.0,1.4,dry,0.0000,0.00,0.0000,25.47,70398.13,1084.72,1.0318,0.0332
