"VarDep","Model","Trans","db","i.Time","MAE","RMSE","R2"
"Cab","Hidden-layers","Normalize","Testing","1","3.145","4.094","0.883"
"Cab","Hidden-layers","Normalize","Val.retrain","1","2.908","3.862","0.905"
