Wvl	R
350	0.0942
351	0.0746
352	0.0699
353	0.0733
354	0.0778
355	0.0780
356	0.0803
357	0.0884
358	0.0815
359	0.0791
360	0.0818
361	0.0839
362	0.0822
363	0.0797
364	0.0800
365	0.0820
366	0.0835
367	0.0840
368	0.0826
369	0.0820
370	0.0822
371	0.0830
372	0.0827
373	0.0834
374	0.0886
375	0.0923
376	0.0938
377	0.0928
378	0.0922
379	0.0945
380	0.0982
381	0.0983
382	0.0981
383	0.0988
384	0.1018
385	0.1036
386	0.1049
387	0.1056
388	0.1049
389	0.1055
390	0.1071
391	0.1089
392	0.1114
393	0.1126
394	0.1108
395	0.1133
396	0.1147
397	0.1149
398	0.1166
399	0.1173
400	0.1178
401	0.1191
402	0.1200
403	0.1204
404	0.1205
405	0.1214
406	0.1216
407	0.1218
408	0.1252
409	0.1259
410	0.1261
411	0.1282
412	0.1288
413	0.1290
414	0.1289
415	0.1299
416	0.1307
417	0.1311
418	0.1309
419	0.1318
420	0.1330
421	0.1340
422	0.1349
423	0.1354
424	0.1353
425	0.1362
426	0.1370
427	0.1377
428	0.1383
429	0.1390
430	0.1396
431	0.1402
432	0.1406
433	0.1410
434	0.1415
435	0.1427
436	0.1432
437	0.1435
438	0.1441
439	0.1447
440	0.1454
441	0.1462
442	0.1465
443	0.1471
444	0.1478
445	0.1483
446	0.1488
447	0.1494
448	0.1498
449	0.1505
450	0.1512
451	0.1520
452	0.1525
453	0.1531
454	0.1538
455	0.1543
456	0.1551
457	0.1558
458	0.1563
459	0.1569
460	0.1573
461	0.1576
462	0.1581
463	0.1587
464	0.1593
465	0.1596
466	0.1601
467	0.1606
468	0.1613
469	0.1616
470	0.1621
471	0.1626
472	0.1630
473	0.1632
474	0.1635
475	0.1640
476	0.1648
477	0.1654
478	0.1656
479	0.1660
480	0.1664
481	0.1668
482	0.1675
483	0.1680
484	0.1684
485	0.1689
486	0.1693
487	0.1697
488	0.1703
489	0.1708
490	0.1714
491	0.1719
492	0.1721
493	0.1725
494	0.1730
495	0.1736
496	0.1743
497	0.1748
498	0.1752
499	0.1758
500	0.1763
501	0.1767
502	0.1773
503	0.1775
504	0.1779
505	0.1788
506	0.1791
507	0.1796
508	0.1803
509	0.1807
510	0.1812
511	0.1818
512	0.1824
513	0.1828
514	0.1832
515	0.1836
516	0.1842
517	0.1848
518	0.1855
519	0.1858
520	0.1864
521	0.1871
522	0.1875
523	0.1880
524	0.1886
525	0.1891
526	0.1896
527	0.1901
528	0.1907
529	0.1912
530	0.1918
531	0.1924
532	0.1929
533	0.1935
534	0.1940
535	0.1946
536	0.1952
537	0.1957
538	0.1962
539	0.1968
540	0.1973
541	0.1979
542	0.1984
543	0.1988
544	0.1994
545	0.1999
546	0.2004
547	0.2010
548	0.2016
549	0.2021
550	0.2026
551	0.2031
552	0.2036
553	0.2042
554	0.2047
555	0.2051
556	0.2057
557	0.2063
558	0.2068
559	0.2075
560	0.2080
561	0.2084
562	0.2089
563	0.2095
564	0.2099
565	0.2103
566	0.2108
567	0.2114
568	0.2119
569	0.2124
570	0.2128
571	0.2133
572	0.2136
573	0.2140
574	0.2145
575	0.2150
576	0.2155
577	0.2160
578	0.2164
579	0.2169
580	0.2173
581	0.2177
582	0.2182
583	0.2187
584	0.2191
585	0.2194
586	0.2198
587	0.2204
588	0.2209
589	0.2213
590	0.2216
591	0.2220
592	0.2224
593	0.2227
594	0.2231
595	0.2235
596	0.2238
597	0.2242
598	0.2246
599	0.2251
600	0.2256
601	0.2261
602	0.2265
603	0.2269
604	0.2273
605	0.2277
606	0.2281
607	0.2285
608	0.2288
609	0.2290
610	0.2293
611	0.2297
612	0.2301
613	0.2305
614	0.2310
615	0.2316
616	0.2320
617	0.2324
618	0.2327
619	0.2331
620	0.2331
621	0.2330
622	0.2331
623	0.2336
624	0.2342
625	0.2348
626	0.2355
627	0.2360
628	0.2363
629	0.2364
630	0.2367
631	0.2370
632	0.2373
633	0.2377
634	0.2380
635	0.2384
636	0.2388
637	0.2392
638	0.2396
639	0.2401
640	0.2407
641	0.2410
642	0.2413
643	0.2416
644	0.2419
645	0.2423
646	0.2429
647	0.2434
648	0.2440
649	0.2445
650	0.2450
651	0.2456
652	0.2461
653	0.2465
654	0.2470
655	0.2476
656	0.2481
657	0.2485
658	0.2489
659	0.2493
660	0.2498
661	0.2502
662	0.2507
663	0.2513
664	0.2516
665	0.2520
666	0.2524
667	0.2529
668	0.2534
669	0.2540
670	0.2545
671	0.2550
672	0.2555
673	0.2559
674	0.2563
675	0.2568
676	0.2573
677	0.2578
678	0.2584
679	0.2589
680	0.2595
681	0.2601
682	0.2607
683	0.2613
684	0.2618
685	0.2623
686	0.2628
687	0.2634
688	0.2639
689	0.2645
690	0.2650
691	0.2656
692	0.2661
693	0.2666
694	0.2672
695	0.2678
696	0.2683
697	0.2687
698	0.2692
699	0.2696
700	0.2702
701	0.2706
702	0.2710
703	0.2714
704	0.2719
705	0.2724
706	0.2728
707	0.2732
708	0.2737
709	0.2742
710	0.2747
711	0.2752
712	0.2757
713	0.2762
714	0.2767
715	0.2772
716	0.2777
717	0.2782
718	0.2786
719	0.2791
720	0.2796
721	0.2801
722	0.2806
723	0.2812
724	0.2817
725	0.2821
726	0.2826
727	0.2832
728	0.2837
729	0.2843
730	0.2848
731	0.2853
732	0.2857
733	0.2862
734	0.2867
735	0.2872
736	0.2877
737	0.2882
738	0.2887
739	0.2891
740	0.2895
741	0.2899
742	0.2904
743	0.2909
744	0.2913
745	0.2917
746	0.2920
747	0.2924
748	0.2928
749	0.2932
750	0.2936
751	0.2941
752	0.2946
753	0.2950
754	0.2955
755	0.2958
756	0.2962
757	0.2966
758	0.2970
759	0.2974
760	0.2979
761	0.2983
762	0.2987
763	0.2992
764	0.2996
765	0.3000
766	0.3006
767	0.3011
768	0.3014
769	0.3019
770	0.3024
771	0.3028
772	0.3032
773	0.3038
774	0.3043
775	0.3047
776	0.3052
777	0.3058
778	0.3062
779	0.3067
780	0.3071
781	0.3076
782	0.3081
783	0.3085
784	0.3090
785	0.3094
786	0.3099
787	0.3103
788	0.3108
789	0.3112
790	0.3116
791	0.3119
792	0.3123
793	0.3127
794	0.3133
795	0.3136
796	0.3139
797	0.3143
798	0.3147
799	0.3150
800	0.3153
801	0.3157
802	0.3160
803	0.3164
804	0.3167
805	0.3170
806	0.3173
807	0.3177
808	0.3182
809	0.3184
810	0.3187
811	0.3190
812	0.3194
813	0.3198
814	0.3201
815	0.3205
816	0.3208
817	0.3211
818	0.3215
819	0.3219
820	0.3223
821	0.3227
822	0.3230
823	0.3235
824	0.3238
825	0.3243
826	0.3246
827	0.3250
828	0.3256
829	0.3259
830	0.3262
831	0.3265
832	0.3271
833	0.3275
834	0.3279
835	0.3283
836	0.3286
837	0.3290
838	0.3294
839	0.3298
840	0.3302
841	0.3307
842	0.3310
843	0.3313
844	0.3316
845	0.3321
846	0.3325
847	0.3327
848	0.3330
849	0.3332
850	0.3335
851	0.3338
852	0.3340
853	0.3343
854	0.3346
855	0.3348
856	0.3351
857	0.3353
858	0.3357
859	0.3360
860	0.3361
861	0.3362
862	0.3364
863	0.3366
864	0.3368
865	0.3370
866	0.3371
867	0.3372
868	0.3374
869	0.3375
870	0.3378
871	0.3380
872	0.3381
873	0.3384
874	0.3385
875	0.3387
876	0.3388
877	0.3388
878	0.3389
879	0.3393
880	0.3395
881	0.3396
882	0.3398
883	0.3401
884	0.3403
885	0.3405
886	0.3407
887	0.3409
888	0.3411
889	0.3412
890	0.3415
891	0.3418
892	0.3420
893	0.3421
