Wvl	R
350	0.0599
351	0.0520
352	0.0541
353	0.0595
354	0.0572
355	0.0539
356	0.0501
357	0.0460
358	0.0409
359	0.0375
360	0.0356
361	0.0346
362	0.0376
363	0.0400
364	0.0343
365	0.0314
366	0.0304
367	0.0309
368	0.0312
369	0.0314
370	0.0316
371	0.0312
372	0.0312
373	0.0311
374	0.0304
375	0.0297
376	0.0294
377	0.0298
378	0.0300
379	0.0309
380	0.0317
381	0.0283
382	0.0300
383	0.0322
384	0.0317
385	0.0289
386	0.0282
387	0.0304
388	0.0303
389	0.0296
390	0.0289
391	0.0308
392	0.0312
393	0.0311
394	0.0309
395	0.0313
396	0.0313
397	0.0307
398	0.0307
399	0.0304
400	0.0303
401	0.0310
402	0.0303
403	0.0300
404	0.0307
405	0.0311
406	0.0315
407	0.0318
408	0.0323
409	0.0324
410	0.0320
411	0.0307
412	0.0306
413	0.0304
414	0.0297
415	0.0303
416	0.0307
417	0.0309
418	0.0309
419	0.0311
420	0.0314
421	0.0316
422	0.0313
423	0.0309
424	0.0305
425	0.0311
426	0.0314
427	0.0315
428	0.0318
429	0.0320
430	0.0321
431	0.0319
432	0.0321
433	0.0323
434	0.0325
435	0.0327
436	0.0327
437	0.0328
438	0.0332
439	0.0332
440	0.0333
441	0.0335
442	0.0336
443	0.0335
444	0.0335
445	0.0342
446	0.0345
447	0.0346
448	0.0348
449	0.0349
450	0.0350
451	0.0350
452	0.0351
453	0.0353
454	0.0354
455	0.0354
456	0.0355
457	0.0356
458	0.0361
459	0.0364
460	0.0364
461	0.0361
462	0.0362
463	0.0364
464	0.0365
465	0.0367
466	0.0368
467	0.0370
468	0.0376
469	0.0374
470	0.0373
471	0.0373
472	0.0374
473	0.0376
474	0.0378
475	0.0378
476	0.0381
477	0.0384
478	0.0389
479	0.0386
480	0.0385
481	0.0385
482	0.0387
483	0.0387
484	0.0387
485	0.0392
486	0.0392
487	0.0394
488	0.0398
489	0.0400
490	0.0401
491	0.0401
492	0.0403
493	0.0404
494	0.0406
495	0.0410
496	0.0415
497	0.0418
498	0.0418
499	0.0419
500	0.0421
501	0.0424
502	0.0428
503	0.0429
504	0.0431
505	0.0432
506	0.0435
507	0.0438
508	0.0442
509	0.0444
510	0.0446
511	0.0448
512	0.0450
513	0.0452
514	0.0454
515	0.0459
516	0.0462
517	0.0464
518	0.0467
519	0.0470
520	0.0473
521	0.0476
522	0.0479
523	0.0481
524	0.0484
525	0.0487
526	0.0491
527	0.0494
528	0.0498
529	0.0501
530	0.0505
531	0.0509
532	0.0513
533	0.0516
534	0.0520
535	0.0524
536	0.0528
537	0.0532
538	0.0536
539	0.0540
540	0.0545
541	0.0550
542	0.0554
543	0.0558
544	0.0563
545	0.0568
546	0.0572
547	0.0578
548	0.0584
549	0.0590
550	0.0595
551	0.0600
552	0.0604
553	0.0611
554	0.0617
555	0.0622
556	0.0628
557	0.0635
558	0.0641
559	0.0646
560	0.0651
561	0.0657
562	0.0665
563	0.0671
564	0.0677
565	0.0683
566	0.0690
567	0.0696
568	0.0702
569	0.0709
570	0.0715
571	0.0720
572	0.0726
573	0.0733
574	0.0738
575	0.0744
576	0.0750
577	0.0756
578	0.0762
579	0.0767
580	0.0773
581	0.0778
582	0.0785
583	0.0789
584	0.0794
585	0.0798
586	0.0804
587	0.0809
588	0.0814
589	0.0819
590	0.0823
591	0.0828
592	0.0834
593	0.0837
594	0.0842
595	0.0846
596	0.0850
597	0.0854
598	0.0858
599	0.0862
600	0.0867
601	0.0871
602	0.0875
603	0.0879
604	0.0884
605	0.0888
606	0.0892
607	0.0896
608	0.0899
609	0.0902
610	0.0907
611	0.0910
612	0.0914
613	0.0916
614	0.0920
615	0.0924
616	0.0926
617	0.0930
618	0.0933
619	0.0934
620	0.0937
621	0.0940
622	0.0943
623	0.0949
624	0.0956
625	0.0962
626	0.0969
627	0.0971
628	0.0973
629	0.0973
630	0.0974
631	0.0976
632	0.0978
633	0.0981
634	0.0985
635	0.0989
636	0.0993
637	0.0997
638	0.1001
639	0.1004
640	0.1007
641	0.1010
642	0.1013
643	0.1015
644	0.1019
645	0.1024
646	0.1029
647	0.1031
648	0.1035
649	0.1040
650	0.1044
651	0.1047
652	0.1051
653	0.1055
654	0.1058
655	0.1062
656	0.1065
657	0.1068
658	0.1072
659	0.1077
660	0.1080
661	0.1084
662	0.1088
663	0.1092
664	0.1096
665	0.1100
666	0.1104
667	0.1107
668	0.1112
669	0.1116
670	0.1120
671	0.1124
672	0.1128
673	0.1133
674	0.1136
675	0.1140
676	0.1144
677	0.1148
678	0.1152
679	0.1156
680	0.1161
681	0.1165
682	0.1169
683	0.1174
684	0.1178
685	0.1182
686	0.1186
687	0.1190
688	0.1194
689	0.1198
690	0.1202
691	0.1206
692	0.1210
693	0.1213
694	0.1217
695	0.1221
696	0.1225
697	0.1229
698	0.1233
699	0.1237
700	0.1242
701	0.1245
702	0.1249
703	0.1252
704	0.1256
705	0.1259
706	0.1263
707	0.1267
708	0.1271
709	0.1275
710	0.1279
711	0.1283
712	0.1287
713	0.1291
714	0.1295
715	0.1299
716	0.1303
717	0.1307
718	0.1311
719	0.1315
720	0.1319
721	0.1323
722	0.1327
723	0.1331
724	0.1335
725	0.1338
726	0.1342
727	0.1347
728	0.1351
729	0.1355
730	0.1359
731	0.1363
732	0.1367
733	0.1371
734	0.1374
735	0.1378
736	0.1381
737	0.1385
738	0.1389
739	0.1393
740	0.1397
741	0.1401
742	0.1404
743	0.1408
744	0.1411
745	0.1415
746	0.1419
747	0.1423
748	0.1426
749	0.1430
750	0.1434
751	0.1437
752	0.1440
753	0.1444
754	0.1447
755	0.1451
756	0.1455
757	0.1457
758	0.1460
759	0.1464
760	0.1468
761	0.1472
762	0.1474
763	0.1477
764	0.1480
765	0.1484
766	0.1488
767	0.1492
768	0.1495
769	0.1498
770	0.1502
771	0.1505
772	0.1508
773	0.1511
774	0.1515
775	0.1518
776	0.1521
777	0.1525
778	0.1529
779	0.1531
780	0.1534
781	0.1536
782	0.1540
783	0.1543
784	0.1544
785	0.1548
786	0.1552
787	0.1555
788	0.1557
789	0.1560
790	0.1562
791	0.1565
792	0.1567
793	0.1568
794	0.1571
795	0.1574
796	0.1577
797	0.1579
798	0.1582
799	0.1585
800	0.1587
801	0.1589
802	0.1591
803	0.1594
804	0.1598
805	0.1599
806	0.1601
807	0.1603
808	0.1605
809	0.1608
810	0.1610
811	0.1612
812	0.1615
813	0.1617
814	0.1619
815	0.1620
816	0.1622
817	0.1624
818	0.1626
819	0.1628
820	0.1631
821	0.1634
822	0.1637
823	0.1639
824	0.1639
825	0.1642
826	0.1645
827	0.1647
828	0.1650
829	0.1651
830	0.1654
831	0.1656
832	0.1657
833	0.1660
834	0.1662
835	0.1664
836	0.1665
837	0.1667
838	0.1671
839	0.1671
840	0.1673
841	0.1675
842	0.1678
843	0.1680
844	0.1682
845	0.1683
846	0.1685
847	0.1687
848	0.1688
849	0.1691
850	0.1692
851	0.1694
852	0.1696
853	0.1697
854	0.1699
855	0.1700
856	0.1703
857	0.1704
858	0.1705
859	0.1707
860	0.1709
861	0.1710
862	0.1713
863	0.1715
864	0.1715
865	0.1717
866	0.1719
867	0.1720
868	0.1722
869	0.1724
870	0.1725
871	0.1728
872	0.1729
873	0.1732
874	0.1734
875	0.1735
876	0.1736
877	0.1738
878	0.1740
879	0.1742
880	0.1743
881	0.1746
882	0.1747
883	0.1748
884	0.1750
885	0.1751
886	0.1754
887	0.1757
888	0.1760
889	0.1762
890	0.1764
891	0.1766
892	0.1768
893	0.1771
894	0.1773
895	0.1774
896	0.1776
897	0.1779
898	0.1781
899	0.1781
900	0.1784
901	0.1786
902	0.1787
903	0.1791
904	0.1795
905	0.1798
906	0.1799
907	0.1801
908	0.1803
909	0.1805
910	0.1807
911	0.1810
912	0.1812
913	0.1813
914	0.1813
915	0.1816
916	0.1820
917	0.1822
918	0.1823
919	0.1827
920	0.1828
921	0.1829
922	0.1834
923	0.1835
924	0.1837
925	0.1839
926	0.1841
927	0.1842
928	0.1844
929	0.1847
930	0.1850
931	0.1851
932	0.1852
933	0.1856
934	0.1860
935	0.1861
936	0.1863
937	0.1866
938	0.1867
939	0.1868
940	0.1869
941	0.1869
942	0.1870
943	0.1876
944	0.1877
945	0.1879
946	0.1883
947	0.1885
948	0.1888
949	0.1890
950	0.1889
951	0.1892
952	0.1896
953	0.1898
954	0.1899
955	0.1901
956	0.1903
957	0.1903
958	0.1904
959	0.1907
960	0.1910
961	0.1912
962	0.1913
963	0.1918
964	0.1922
965	0.1926
966	0.1928
967	0.1927
968	0.1928
969	0.1931
970	0.1934
971	0.1937
972	0.1939
973	0.1942
974	0.1944
975	0.1945
976	0.1947
977	0.1951
978	0.1956
979	0.1958
980	0.1961
981	0.1963
982	0.1964
983	0.1967
984	0.1967
985	0.1969
986	0.1971
987	0.1973
988	0.1977
989	0.1980
990	0.1984
991	0.1987
992	0.1990
993	0.1989
994	0.1995
995	0.2000
996	0.2005
997	0.2002
998	0.2004
999	0.2010
1000	0.2016
1001	0.2016
1002	0.2014
1003	0.2019
1004	0.2024
1005	0.2027
1006	0.2030
1007	0.2034
1008	0.2037
1009	0.2038
1010	0.2037
1011	0.2037
1012	0.2040
1013	0.2043
1014	0.2045
1015	0.2047
1016	0.2049
1017	0.2050
1018	0.2054
1019	0.2059
1020	0.2064
1021	0.2067
1022	0.2070
1023	0.2071
1024	0.2071
1025	0.2070
1026	0.2072
1027	0.2079
1028	0.2085
1029	0.2088
1030	0.2089
1031	0.2091
1032	0.2094
1033	0.2098
1034	0.2102
1035	0.2104
1036	0.2108
1037	0.2112
1038	0.2113
1039	0.2115
1040	0.2116
1041	0.2118
1042	0.2122
1043	0.2126
1044	0.2130
1045	0.2134
1046	0.2140
1047	0.2145
1048	0.2147
1049	0.2148
1050	0.2152
1051	0.2157
1052	0.2158
1053	0.2161
1054	0.2167
1055	0.2171
1056	0.2174
1057	0.2175
1058	0.2176
1059	0.2178
1060	0.2180
1061	0.2181
1062	0.2183
1063	0.2188
1064	0.2195
1065	0.2202
1066	0.2205
1067	0.2205
1068	0.2207
1069	0.2208
1070	0.2210
1071	0.2213
1072	0.2218
1073	0.2221
1074	0.2223
1075	0.2226
1076	0.2229
1077	0.2232
1078	0.2235
1079	0.2236
1080	0.2237
1081	0.2239
1082	0.2243
1083	0.2246
1084	0.2250
1085	0.2253
1086	0.2257
1087	0.2260
1088	0.2261
1089	0.2261
1090	0.2262
1091	0.2263
1092	0.2268
1093	0.2272
1094	0.2277
1095	0.2279
1096	0.2278
1097	0.2279
1098	0.2283
1099	0.2288
1100	0.2291
1101	0.2293
1102	0.2295
1103	0.2298
1104	0.2301
1105	0.2302
1106	0.2303
1107	0.2304
1108	0.2305
1109	0.2308
1110	0.2312
1111	0.2314
1112	0.2315
1113	0.2317
1114	0.2319
1115	0.2321
1116	0.2322
1117	0.2323
1118	0.2325
1119	0.2328
1120	0.2330
1121	0.2332
1122	0.2333
1123	0.2335
1124	0.2339
1125	0.2342
1126	0.2344
1127	0.2346
1128	0.2348
1129	0.2350
1130	0.2352
1131	0.2354
1132	0.2355
1133	0.2356
1134	0.2357
1135	0.2359
1136	0.2361
1137	0.2364
1138	0.2368
1139	0.2370
1140	0.2371
1141	0.2373
1142	0.2376
1143	0.2376
1144	0.2374
1145	0.2376
1146	0.2379
1147	0.2381
1148	0.2383
1149	0.2385
1150	0.2387
1151	0.2389
1152	0.2391
1153	0.2393
1154	0.2394
1155	0.2395
1156	0.2397
1157	0.2399
1158	0.2401
1159	0.2403
1160	0.2406
1161	0.2410
1162	0.2413
1163	0.2415
1164	0.2418
1165	0.2420
1166	0.2423
1167	0.2425
1168	0.2428
1169	0.2431
1170	0.2434
1171	0.2437
1172	0.2440
1173	0.2442
1174	0.2443
1175	0.2446
1176	0.2450
1177	0.2452
1178	0.2454
1179	0.2457
1180	0.2460
1181	0.2463
1182	0.2465
1183	0.2468
1184	0.2471
1185	0.2474
1186	0.2477
1187	0.2480
1188	0.2482
1189	0.2483
1190	0.2485
1191	0.2487
1192	0.2490
1193	0.2494
1194	0.2496
1195	0.2498
1196	0.2501
1197	0.2504
1198	0.2506
1199	0.2508
1200	0.2511
1201	0.2514
1202	0.2516
1203	0.2517
1204	0.2519
1205	0.2521
1206	0.2523
1207	0.2526
1208	0.2529
1209	0.2531
1210	0.2534
1211	0.2537
1212	0.2541
1213	0.2543
1214	0.2546
1215	0.2548
1216	0.2549
1217	0.2550
1218	0.2550
1219	0.2551
1220	0.2554
1221	0.2557
1222	0.2559
1223	0.2561
1224	0.2563
1225	0.2566
1226	0.2568
1227	0.2570
1228	0.2570
1229	0.2571
1230	0.2574
1231	0.2577
1232	0.2578
1233	0.2579
1234	0.2580
1235	0.2582
1236	0.2583
1237	0.2585
1238	0.2586
1239	0.2588
1240	0.2589
1241	0.2591
1242	0.2593
1243	0.2594
1244	0.2595
1245	0.2597
1246	0.2598
1247	0.2599
1248	0.2600
1249	0.2602
1250	0.2605
1251	0.2607
1252	0.2608
1253	0.2609
1254	0.2610
1255	0.2611
1256	0.2611
1257	0.2612
1258	0.2613
1259	0.2615
1260	0.2616
1261	0.2617
1262	0.2616
1263	0.2617
1264	0.2619
1265	0.2621
1266	0.2623
1267	0.2625
1268	0.2626
1269	0.2627
1270	0.2627
1271	0.2628
1272	0.2629
1273	0.2631
1274	0.2632
1275	0.2632
1276	0.2634
1277	0.2636
1278	0.2638
1279	0.2640
1280	0.2640
1281	0.2640
1282	0.2642
1283	0.2644
1284	0.2645
1285	0.2645
1286	0.2645
1287	0.2646
1288	0.2647
1289	0.2649
1290	0.2650
1291	0.2651
1292	0.2652
1293	0.2652
1294	0.2652
1295	0.2654
1296	0.2656
1297	0.2656
1298	0.2656
1299	0.2656
1300	0.2658
1301	0.2659
1302	0.2660
1303	0.2661
1304	0.2663
1305	0.2663
1306	0.2664
1307	0.2664
1308	0.2665
1309	0.2667
1310	0.2670
1311	0.2672
1312	0.2671
1313	0.2670
1314	0.2671
1315	0.2672
1316	0.2674
1317	0.2674
1318	0.2675
1319	0.2675
1320	0.2676
1321	0.2677
1322	0.2679
1323	0.2680
1324	0.2680
1325	0.2680
1326	0.2680
1327	0.2681
1328	0.2682
1329	0.2682
1330	0.2681
1331	0.2681
1332	0.2682
1333	0.2685
1334	0.2687
1335	0.2684
1336	0.2683
1337	0.2683
1338	0.2682
1339	0.2681
1340	0.2681
1341	0.2683
1342	0.2685
1343	0.2688
1344	0.2690
1345	0.2690
1346	0.2689
