Wvl	R
350	0.0961
351	0.1009
352	0.0967
353	0.0961
354	0.0998
355	0.0988
356	0.0978
357	0.0963
358	0.0935
359	0.0951
360	0.0977
361	0.0984
362	0.0963
363	0.0964
364	0.0976
365	0.0946
366	0.0923
367	0.0935
368	0.0987
369	0.0987
370	0.0985
371	0.0999
372	0.0999
373	0.1016
374	0.1033
375	0.1019
376	0.1019
377	0.1017
378	0.1006
379	0.1027
380	0.1039
381	0.1033
382	0.1045
383	0.1060
384	0.1074
385	0.1082
386	0.1079
387	0.1089
388	0.1116
389	0.1107
390	0.1095
391	0.1094
392	0.1105
393	0.1126
394	0.1138
395	0.1131
396	0.1134
397	0.1142
398	0.1150
399	0.1154
400	0.1155
401	0.1160
402	0.1172
403	0.1180
404	0.1183
405	0.1182
406	0.1186
407	0.1190
408	0.1193
409	0.1194
410	0.1199
411	0.1206
412	0.1209
413	0.1214
414	0.1218
415	0.1218
416	0.1224
417	0.1229
418	0.1230
419	0.1239
420	0.1245
421	0.1245
422	0.1250
423	0.1256
424	0.1262
425	0.1268
426	0.1271
427	0.1276
428	0.1287
429	0.1289
430	0.1294
431	0.1306
432	0.1312
433	0.1317
434	0.1322
435	0.1329
436	0.1332
437	0.1337
438	0.1349
439	0.1355
440	0.1359
441	0.1364
442	0.1366
443	0.1369
444	0.1376
445	0.1380
446	0.1385
447	0.1390
448	0.1393
449	0.1396
450	0.1399
451	0.1401
452	0.1404
453	0.1408
454	0.1410
455	0.1410
456	0.1409
457	0.1410
458	0.1412
459	0.1415
460	0.1417
461	0.1418
462	0.1418
463	0.1421
464	0.1424
465	0.1424
466	0.1426
467	0.1430
468	0.1432
469	0.1434
470	0.1434
471	0.1435
472	0.1438
473	0.1440
474	0.1440
475	0.1443
476	0.1446
477	0.1447
478	0.1454
479	0.1457
480	0.1457
481	0.1460
482	0.1463
483	0.1466
484	0.1469
485	0.1472
486	0.1476
487	0.1481
488	0.1483
489	0.1486
490	0.1490
491	0.1493
492	0.1497
493	0.1502
494	0.1504
495	0.1509
496	0.1514
497	0.1518
498	0.1521
499	0.1526
500	0.1530
501	0.1534
502	0.1539
503	0.1543
504	0.1546
505	0.1551
506	0.1556
507	0.1561
508	0.1566
509	0.1570
510	0.1575
511	0.1579
512	0.1584
513	0.1589
514	0.1594
515	0.1598
516	0.1603
517	0.1609
518	0.1613
519	0.1617
520	0.1623
521	0.1627
522	0.1630
523	0.1635
524	0.1640
525	0.1645
526	0.1651
527	0.1655
528	0.1659
529	0.1664
530	0.1668
531	0.1672
532	0.1677
533	0.1682
534	0.1687
535	0.1691
536	0.1695
537	0.1699
538	0.1703
539	0.1707
540	0.1711
541	0.1715
542	0.1719
543	0.1723
544	0.1727
545	0.1731
546	0.1735
547	0.1739
548	0.1743
549	0.1747
550	0.1750
551	0.1753
552	0.1757
553	0.1761
554	0.1765
555	0.1769
556	0.1773
557	0.1776
558	0.1779
559	0.1782
560	0.1786
561	0.1790
562	0.1793
563	0.1797
564	0.1801
565	0.1804
566	0.1807
567	0.1810
568	0.1814
569	0.1817
570	0.1820
571	0.1823
572	0.1827
573	0.1830
574	0.1833
575	0.1837
576	0.1839
577	0.1842
578	0.1846
579	0.1849
580	0.1852
581	0.1855
582	0.1857
583	0.1860
584	0.1862
585	0.1865
586	0.1868
587	0.1870
588	0.1872
589	0.1874
590	0.1875
591	0.1878
592	0.1881
593	0.1883
594	0.1884
595	0.1886
596	0.1887
597	0.1888
598	0.1890
599	0.1892
600	0.1894
601	0.1896
602	0.1898
603	0.1900
604	0.1902
605	0.1904
606	0.1907
607	0.1909
608	0.1910
609	0.1911
610	0.1913
611	0.1913
612	0.1915
613	0.1917
614	0.1918
615	0.1918
616	0.1918
617	0.1920
618	0.1921
619	0.1923
620	0.1926
621	0.1927
622	0.1929
623	0.1931
624	0.1932
625	0.1933
626	0.1935
627	0.1936
628	0.1936
629	0.1936
630	0.1937
631	0.1938
632	0.1939
633	0.1940
634	0.1942
635	0.1944
636	0.1945
637	0.1947
638	0.1949
639	0.1950
640	0.1951
641	0.1953
642	0.1955
643	0.1957
644	0.1958
645	0.1959
646	0.1961
647	0.1962
648	0.1963
649	0.1965
650	0.1966
651	0.1968
652	0.1971
653	0.1972
654	0.1974
655	0.1976
656	0.1978
657	0.1980
658	0.1982
659	0.1983
660	0.1985
661	0.1987
662	0.1988
663	0.1990
664	0.1992
665	0.1994
666	0.1995
667	0.1997
668	0.1999
669	0.2000
670	0.2001
671	0.2003
672	0.2004
673	0.2006
674	0.2008
675	0.2009
676	0.2011
677	0.2012
678	0.2013
679	0.2015
680	0.2016
681	0.2018
682	0.2019
683	0.2021
684	0.2022
685	0.2023
686	0.2024
687	0.2026
688	0.2027
689	0.2029
690	0.2030
691	0.2031
692	0.2032
693	0.2034
694	0.2036
695	0.2037
696	0.2038
697	0.2039
698	0.2041
699	0.2042
700	0.2044
701	0.2045
702	0.2048
703	0.2049
704	0.2050
705	0.2052
706	0.2053
707	0.2054
708	0.2056
709	0.2057
710	0.2059
711	0.2061
712	0.2062
713	0.2063
714	0.2065
715	0.2066
716	0.2068
717	0.2070
718	0.2071
719	0.2073
720	0.2075
721	0.2077
722	0.2078
723	0.2079
724	0.2082
725	0.2083
726	0.2085
727	0.2087
728	0.2089
729	0.2090
730	0.2092
731	0.2094
732	0.2096
733	0.2097
734	0.2099
735	0.2101
736	0.2103
737	0.2104
738	0.2107
739	0.2109
740	0.2110
741	0.2113
742	0.2115
743	0.2117
744	0.2118
745	0.2121
746	0.2123
747	0.2124
748	0.2126
749	0.2129
750	0.2131
751	0.2132
752	0.2134
753	0.2136
754	0.2137
755	0.2140
756	0.2142
757	0.2145
758	0.2147
759	0.2148
760	0.2150
761	0.2152
762	0.2154
763	0.2156
764	0.2158
765	0.2159
766	0.2161
767	0.2163
768	0.2165
769	0.2166
770	0.2167
771	0.2169
772	0.2171
773	0.2173
774	0.2174
775	0.2176
776	0.2177
777	0.2178
778	0.2178
779	0.2180
780	0.2182
781	0.2183
782	0.2184
783	0.2185
784	0.2186
785	0.2188
786	0.2189
787	0.2189
788	0.2191
789	0.2192
790	0.2193
791	0.2194
792	0.2195
793	0.2196
794	0.2196
795	0.2197
796	0.2198
797	0.2199
798	0.2201
799	0.2202
800	0.2202
801	0.2203
802	0.2203
803	0.2204
804	0.2205
805	0.2206
806	0.2207
807	0.2207
808	0.2208
809	0.2209
810	0.2209
811	0.2209
812	0.2210
813	0.2211
814	0.2212
815	0.2212
816	0.2213
817	0.2214
818	0.2214
819	0.2215
820	0.2215
821	0.2215
822	0.2216
823	0.2217
824	0.2217
825	0.2217
826	0.2218
827	0.2219
828	0.2220
829	0.2220
830	0.2220
831	0.2220
832	0.2220
833	0.2221
834	0.2222
835	0.2223
836	0.2223
837	0.2223
838	0.2223
839	0.2224
840	0.2224
841	0.2224
842	0.2226
843	0.2227
844	0.2227
845	0.2226
846	0.2228
847	0.2228
848	0.2229
849	0.2229
850	0.2229
851	0.2230
852	0.2231
853	0.2231
854	0.2231
855	0.2233
856	0.2233
857	0.2234
858	0.2235
859	0.2235
860	0.2235
861	0.2236
862	0.2237
863	0.2237
864	0.2237
865	0.2238
866	0.2239
867	0.2240
868	0.2241
869	0.2243
870	0.2243
871	0.2243
872	0.2244
873	0.2246
874	0.2246
875	0.2247
876	0.2248
877	0.2249
878	0.2249
879	0.2249
880	0.2251
881	0.2252
882	0.2253
883	0.2254
884	0.2254
885	0.2255
886	0.2257
887	0.2258
888	0.2259
889	0.2260
890	0.2260
891	0.2261
892	0.2262
893	0.2262
894	0.2263
895	0.2265
896	0.2267
897	0.2267
898	0.2268
899	0.2270
900	0.2271
901	0.2271
902	0.2271
903	0.2272
904	0.2274
905	0.2274
906	0.2276
907	0.2278
908	0.2278
909	0.2279
910	0.2279
911	0.2279
912	0.2282
913	0.2284
914	0.2285
915	0.2284
916	0.2285
917	0.2286
918	0.2287
919	0.2289
920	0.2290
921	0.2291
922	0.2292
923	0.2292
924	0.2294
925	0.2295
926	0.2296
927	0.2296
928	0.2298
929	0.2300
930	0.2301
931	0.2301
932	0.2302
933	0.2304
934	0.2303
935	0.2305
936	0.2309
937	0.2309
938	0.2310
939	0.2310
940	0.2311
941	0.2311
942	0.2312
943	0.2313
944	0.2314
945	0.2316
946	0.2318
947	0.2320
948	0.2319
949	0.2319
950	0.2320
951	0.2322
952	0.2325
953	0.2326
954	0.2327
955	0.2329
956	0.2328
957	0.2328
958	0.2330
959	0.2333
960	0.2333
961	0.2333
962	0.2333
963	0.2335
964	0.2337
965	0.2338
966	0.2338
967	0.2342
968	0.2343
969	0.2342
970	0.2343
971	0.2345
972	0.2346
973	0.2348
974	0.2350
975	0.2349
976	0.2350
977	0.2352
978	0.2356
979	0.2358
980	0.2357
981	0.2355
982	0.2356
983	0.2357
984	0.2360
985	0.2363
986	0.2362
987	0.2363
988	0.2364
989	0.2364
990	0.2365
991	0.2366
992	0.2368
993	0.2369
994	0.2372
995	0.2373
996	0.2370
997	0.2372
998	0.2372
999	0.2375
1000	0.2380
1001	0.2374
1002	0.2373
1003	0.2375
1004	0.2373
1005	0.2373
1006	0.2378
1007	0.2376
1008	0.2374
1009	0.2378
1010	0.2378
1011	0.2379
1012	0.2381
1013	0.2383
1014	0.2384
1015	0.2386
1016	0.2392
1017	0.2396
1018	0.2397
1019	0.2396
1020	0.2393
1021	0.2389
1022	0.2386
1023	0.2390
1024	0.2397
1025	0.2401
1026	0.2404
1027	0.2403
1028	0.2403
1029	0.2403
1030	0.2403
1031	0.2403
1032	0.2405
1033	0.2403
1034	0.2403
1035	0.2406
1036	0.2407
1037	0.2408
1038	0.2410
1039	0.2407
1040	0.2408
1041	0.2412
1042	0.2413
1043	0.2419
1044	0.2423
1045	0.2425
1046	0.2424
1047	0.2424
1048	0.2422
1049	0.2420
1050	0.2423
1051	0.2422
1052	0.2424
1053	0.2427
1054	0.2427
1055	0.2428
1056	0.2430
1057	0.2432
1058	0.2432
1059	0.2433
1060	0.2433
1061	0.2433
1062	0.2435
1063	0.2439
1064	0.2441
1065	0.2444
1066	0.2444
1067	0.2445
1068	0.2448
1069	0.2447
1070	0.2448
1071	0.2451
1072	0.2449
1073	0.2449
1074	0.2454
1075	0.2455
1076	0.2455
1077	0.2456
1078	0.2457
1079	0.2456
1080	0.2456
1081	0.2456
1082	0.2459
1083	0.2459
1084	0.2460
1085	0.2465
1086	0.2469
1087	0.2470
1088	0.2469
1089	0.2468
1090	0.2470
1091	0.2471
1092	0.2473
1093	0.2476
1094	0.2479
1095	0.2481
1096	0.2484
1097	0.2487
1098	0.2488
1099	0.2487
1100	0.2486
1101	0.2484
1102	0.2482
1103	0.2481
1104	0.2482
1105	0.2485
1106	0.2489
1107	0.2492
1108	0.2495
1109	0.2496
1110	0.2499
1111	0.2501
1112	0.2501
1113	0.2502
1114	0.2503
1115	0.2506
1116	0.2508
1117	0.2510
1118	0.2512
1119	0.2513
1120	0.2511
1121	0.2509
1122	0.2510
1123	0.2512
1124	0.2513
1125	0.2517
1126	0.2519
1127	0.2520
1128	0.2523
1129	0.2525
1130	0.2526
1131	0.2528
1132	0.2528
1133	0.2529
1134	0.2531
1135	0.2532
1136	0.2533
1137	0.2535
1138	0.2537
1139	0.2539
1140	0.2540
1141	0.2540
1142	0.2538
1143	0.2539
1144	0.2541
1145	0.2542
1146	0.2545
1147	0.2546
1148	0.2546
1149	0.2548
1150	0.2550
1151	0.2552
1152	0.2554
1153	0.2554
1154	0.2556
1155	0.2558
1156	0.2559
1157	0.2559
1158	0.2562
1159	0.2563
1160	0.2564
1161	0.2566
1162	0.2567
1163	0.2569
1164	0.2569
1165	0.2571
1166	0.2572
1167	0.2572
1168	0.2574
1169	0.2577
1170	0.2578
1171	0.2578
