Wvl	R
350	0.0644
351	0.0652
352	0.0700
353	0.0687
354	0.0648
355	0.0720
356	0.0727
357	0.0711
358	0.0707
359	0.0706
360	0.0720
361	0.0754
362	0.0766
363	0.0780
364	0.0794
365	0.0800
366	0.0794
367	0.0789
368	0.0805
369	0.0811
370	0.0817
371	0.0827
372	0.0818
373	0.0809
374	0.0804
375	0.0826
376	0.0841
377	0.0851
378	0.0850
379	0.0853
380	0.0860
381	0.0868
382	0.0870
383	0.0882
384	0.0904
385	0.0906
386	0.0907
387	0.0909
388	0.0911
389	0.0916
390	0.0924
391	0.0937
392	0.0939
393	0.0948
394	0.0963
395	0.0967
396	0.0969
397	0.0972
398	0.0981
399	0.0989
400	0.0994
401	0.0990
402	0.1004
403	0.1015
404	0.1020
405	0.1027
406	0.1033
407	0.1039
408	0.1046
409	0.1055
410	0.1065
411	0.1078
412	0.1085
413	0.1090
414	0.1092
415	0.1095
416	0.1102
417	0.1109
418	0.1115
419	0.1126
420	0.1137
421	0.1143
422	0.1149
423	0.1156
424	0.1163
425	0.1173
426	0.1183
427	0.1192
428	0.1199
429	0.1209
430	0.1218
431	0.1226
432	0.1238
433	0.1248
434	0.1257
435	0.1271
436	0.1282
437	0.1290
438	0.1299
439	0.1312
440	0.1324
441	0.1332
442	0.1347
443	0.1360
444	0.1370
445	0.1381
446	0.1392
447	0.1403
448	0.1411
449	0.1420
450	0.1429
451	0.1439
452	0.1449
453	0.1457
454	0.1466
455	0.1473
456	0.1480
457	0.1487
458	0.1497
459	0.1505
460	0.1512
461	0.1519
462	0.1525
463	0.1531
464	0.1538
465	0.1544
466	0.1552
467	0.1560
468	0.1566
469	0.1571
470	0.1576
471	0.1584
472	0.1592
473	0.1600
474	0.1606
475	0.1614
476	0.1621
477	0.1626
478	0.1634
479	0.1641
480	0.1649
481	0.1658
482	0.1665
483	0.1672
484	0.1680
485	0.1690
486	0.1699
487	0.1709
488	0.1717
489	0.1726
490	0.1736
491	0.1748
492	0.1759
493	0.1771
494	0.1784
495	0.1794
496	0.1805
497	0.1817
498	0.1826
499	0.1837
500	0.1849
501	0.1861
502	0.1873
503	0.1884
504	0.1895
