Wvl	alpha
855	0.043064
856	0.043601
857	0.043694
858	0.043792
859	0.044326
860	0.044535
861	0.044661
862	0.045047
863	0.045273
864	0.045524
865	0.046052
866	0.046580
867	0.046909
868	0.047052
869	0.047128
870	0.047521
871	0.048332
872	0.048673
873	0.048941
874	0.049604
875	0.050055
876	0.050495
877	0.051154
878	0.051531
879	0.052038
880	0.052979
881	0.053460
882	0.053856
883	0.054649
884	0.055279
885	0.055661
886	0.055955
887	0.056527
888	0.057454
889	0.057887
890	0.058314
891	0.059235
892	0.059823
893	0.060088
894	0.060352
895	0.060936
896	0.061850
897	0.062264
898	0.062692
899	0.063601
900	0.064074
901	0.064575
902	0.065618
903	0.066360
904	0.066724
905	0.066991
906	0.067686
907	0.068997
908	0.069885
909	0.070366
910	0.070848
911	0.071867
912	0.073579
913	0.074856
914	0.075618
915	0.076297
916	0.077922
917	0.080852
918	0.082916
919	0.084095
920	0.085277
921	0.088006
922	0.092680
923	0.095840
924	0.098192
925	0.101244
926	0.104222
927	0.106625
928	0.111310
929	0.119441
930	0.124611
931	0.128093
932	0.132722
933	0.137382
934	0.140985
935	0.146496
936	0.155737
937	0.163499
938	0.168802
939	0.173178
940	0.181811
941	0.196308
942	0.205007
943	0.210550
944	0.218675
945	0.228721
946	0.238586
947	0.246816
948	0.254236
949	0.270131
950	0.297625
951	0.315250
952	0.327359
953	0.343792
954	0.362238
955	0.378504
956	0.393028
957	0.406807
958	0.418442
959	0.427338
960	0.438514
961	0.453749
962	0.461079
963	0.463246
964	0.466292
965	0.470099
966	0.473293
967	0.475625
968	0.477214
969	0.478534
970	0.479999
971	0.481430
972	0.482679
973	0.484315
974	0.486399
975	0.487014
976	0.486689
977	0.486389
978	0.485694
979	0.484099
980	0.482138
981	0.480393
982	0.478597
983	0.476378
984	0.473793
985	0.470951
986	0.467734
987	0.464088
988	0.460428
989	0.457033
990	0.453151
991	0.448209
992	0.443370
993	0.439701
994	0.436157
995	0.431577
996	0.426449
997	0.421502
998	0.416780
999	0.412111
1000	0.407150
1001	0.401698
1002	0.396305
1003	0.391472
1004	0.386754
