Wvl	alpha
2217	18.347807
2218	18.360087
2219	18.368041
2220	18.371147
2221	18.375426
2222	18.370986
2223	18.397885
2224	18.415835
2225	18.433424
2226	18.464445
2227	18.486042
2228	18.509858
2229	18.535079
2230	18.567195
2231	18.580207
2232	18.597736
2233	18.634523
2234	18.644907
2235	18.668087
2236	18.698134
2237	18.745176
2238	18.788005
2239	18.829596
2240	18.876784
2241	18.930119
2242	18.973935
2243	19.024982
2244	19.078613
2245	19.130966
2246	19.188483
2247	19.242983
2248	19.291386
2249	19.341880
2250	19.400311
2251	19.454550
2252	19.507121
2253	19.608126
2254	19.660040
2255	19.734194
2256	19.804023
2257	19.848121
2258	19.904789
2259	19.972666
2260	20.042923
2261	20.128298
2262	20.201591
2263	20.274000
2264	20.376000
2265	20.456000
2266	20.541000
2267	20.622355
2268	20.713300
2269	20.793107
2270	20.872860
2271	20.938068
2272	21.025416
2273	21.113531
2274	21.259722
2275	21.353541
2276	21.451624
2277	21.528010
2278	21.636227
2279	21.740667
2280	21.831000
2281	21.921000
2282	22.015955
2283	22.121120
2284	22.231621
2285	22.344440
2286	22.453351
2287	22.641971
2288	22.754867
2289	22.869231
2290	23.006587
2291	23.126000
2292	23.269000
2293	23.383388
2294	23.508801
2295	23.626172
2296	23.768742
2297	23.854437
2298	24.092365
2299	24.182476
2300	24.327139
2301	24.439000
2302	24.587000
2303	24.703330
2304	24.853047
2305	24.953784
2306	25.230821
2307	25.337242
2308	25.487620
2309	25.638178
2310	25.785000
2311	25.919888
2312	26.106062
2313	26.230103
2314	26.532817
2315	26.641208
2316	26.804898
2317	26.950000
2318	27.116000
2319	27.271665
2320	27.434668
2321	27.560972
2322	27.892670
2323	28.019150
2324	28.194000
2325	28.375000
2326	28.554182
2327	28.689166
2328	29.029284
2329	29.160637
2330	29.342234
2331	29.510000
2332	29.687549
2333	29.878395
2334	30.022865
2335	30.381582
2336	30.537803
2337	30.725000
2338	30.917578
2339	31.064901
2340	31.448270
2341	31.596359
2342	31.796559
2343	31.992000
2344	32.184578
2345	32.378120
2346	32.720159
2347	32.899052
2348	33.108000
2349	33.312204
2350	33.477085
2351	33.878710
2352	34.043154
2353	34.255910
2354	34.469000
2355	34.679887
2356	34.858707
2357	35.280733
2358	35.468682
2359	35.701000
2360	35.916810
2361	36.100851
2362	36.556596
2363	36.750587
2364	36.973294
2365	37.156341
2366	37.604993
2367	37.765596
2368	38.012000
2369	38.266116
2370	38.478339
2371	38.919415
2372	39.126244
2373	39.377000
2374	39.568353
2375	40.067271
2376	40.236211
2377	40.501000
2378	40.775493
2379	40.956120
2380	41.471030
2381	41.674000
2382	41.961029
2383	42.199278
2384	42.678713
2385	42.934319
2386	43.185123
2387	43.417893
2388	43.882047
2389	44.125274
2390	44.388201
2391	44.642578
2392	45.131562
2393	45.380490
2394	45.646700
2395	45.902892
2396	46.374994
2397	46.626439
2398	46.897572
2399	47.142824
2400	47.639201
2401	47.869000
2402	48.168244
2403	48.363908
2404	48.943196
2405	49.168000
2406	49.394935
2407	49.973706
2408	50.207334
2409	50.498200
2410	50.775066
2411	51.313894
2412	51.590000
2413	51.907203
2414	52.456403
2415	52.746155
2416	53.104000
2417	53.392927
2418	54.005031
2419	54.287000
2420	54.618519
2421	55.231384
2422	55.549991
2423	55.879526
2424	56.180076
2425	56.862523
2426	57.134000
2427	57.459447
2428	58.081098
2429	58.410000
2430	58.782513
2431	59.461802
2432	59.762778
2433	60.089142
2434	60.390269
2435	61.068629
2436	61.462823
2437	61.803850
2438	62.497938
2439	62.857000
2440	63.163436
2441	63.923142
2442	64.273000
2443	64.623121
2444	65.386532
2445	65.736000
2446	66.086596
2447	66.853847
2448	67.247000
2449	67.587563
2450	68.422978
2451	68.805000
2452	69.179607
2453	70.089195
2454	70.462000
2455	70.835244
2456	71.742606
2457	72.115000
2458	72.486236
2459	73.396515
2460	73.814000
2461	74.231212
2462	75.140043
2463	75.534539
2464	75.914435
2465	76.744514
2466	77.182627
2467	78.011347
2468	78.388923
2469	78.804005
2470	79.697362
2471	80.047000
2472	80.458068
2473	81.357925
2474	81.726000
2475	82.149471
2476	82.946235
2477	83.384350
2478	84.232927
2479	84.740415
2480	85.097764
2481	85.841677
2482	86.172000
2483	86.374356
2484	87.076983
2485	87.624353
2486	88.838480
2487	89.040790
2488	89.447181
2489	90.552552
2490	90.890000
2491	91.344389
2492	92.036828
2493	92.436072
2494	93.077269
2495	93.328000
2496	93.583811
2497	94.163330
2498	94.479431
2499	94.994450
2500	95.303000
